APBS_Code,Material,Description,Size,Target_Unit,Pack_Qty,Qty_Wanted_Pcs,Tommur_Code,Lesso_Code,Sub_Sub_Category
CPVC-PIPE-SDR11,CPVC,CPVC ASTM 2846 PIPE SDR-11,"3/4"" x 2.03""",ft,1,,CPVC ASTM 2846 PIPE SDR-11,,CPVC Pipes
CPVC-PIPE-SDR13.5,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"1"" x 2.03""",ft,1,,CPVC ASTM 2846 PIPE SDR-13.5,,CPVC Pipes
CPVC-PIPE-SDR13.5,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"1/2"" x 1.51""",ft,1,,CPVC ASTM 2846 PIPE SDR-13.5,,CPVC Pipes
CPVC-PIPE-SDR13.5,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"1-1/2"" x 3.06""",ft,1,,CPVC ASTM 2846 PIPE SDR-13.5,,CPVC Pipes
CPVC-PIPE-SDR13.5,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"1-1/4"" x 2.59""",ft,1,,CPVC ASTM 2846 PIPE SDR-13.5,,CPVC Pipes
CPVC-PIPE-SDR13.5,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"2"" x 4.0""",ft,1,,CPVC ASTM 2846 PIPE SDR-13.5,,CPVC Pipes
CPVC-PIPE-SDR13.5,CPVC,CPVC ASTM 2846 PIPE SDR-13.5,"3/4"" x 1.73""",ft,1,,CPVC ASTM 2846 PIPE SDR-13.5,,CPVC Pipes
PVC-1/16HH,PVC,1/16 BEND (H x H),"1-1/2""",pc,200,400,D057,LP324-015,PVC Fittings
PVC-1/16HH,PVC,1/16 BEND (H x H),"2""",pc,100,300,D057,LP324-020,PVC Fittings
PVC-1/16HH,PVC,1/16 BEND (H x H),"3""",pc,25,150,D057,LP324-030,PVC Fittings
PVC-1/16HS,PVC,"1/16 BEND, STREET (H x S)","1-1/2""",pc,200,400,D059,LP326-015,PVC Fittings
PVC-1/16HS,PVC,"1/16 BEND, STREET (H x S)","2""",pc,100,300,D059,LP326-020,PVC Fittings
PVC-1/16HS,PVC,"1/16 BEND, STREET (H x S)","3""",pc,25,150,D059,LP326-030,PVC Fittings
PVC-1/4HH,PVC,1/4 BEND (H x H),"1-1/2""",pc,100,2900,D035,LP300-015,PVC Fittings
PVC-1/4HH,PVC,1/4 BEND (H x H),"2""",pc,50,1600,D035,LP300-020,PVC Fittings
PVC-1/4HH,PVC,1/4 BEND (H x H),"3""",pc,25,1300,D035,LP300-030,PVC Fittings
PVC-1/4HH,PVC,1/4 BEND (H x H),"4""",pc,10,140,D035,LP300-040,PVC Fittings
PVC-1/4HH,PVC,1/4 BEND (H × H),"6""",pc,4,40,D035,,PVC Fittings
PVC-1/4HHLNG,PVC,LONG SWEEP 1/4 BEND (H x H),"2""",pc,60,840,D043,LP304-020,PVC Fittings
PVC-1/4HHLNG,PVC,LONG SWEEP 1/4 BEND (H x H),"3""",pc,10,840,D043,LP304-030,PVC Fittings
PVC-1/4HHLNG,PVC,LONG SWEEP 1/4 BEND (H x H),"4""",pc,5,30,D043,LP304-040,PVC Fittings
PVC-1/4HS,PVC,"1/4 BEND, STREET (H x S)","1-1/2""",pc,180,360,D040,LP302-015,PVC Fittings
PVC-1/4HS,PVC,"1/4 BEND, STREET (H x S)","2""",pc,50,300,D040,LP302-020,PVC Fittings
PVC-1/4HS,PVC,"1/4 BEND, STREET (H x S)","3""",pc,20,140,D040,LP302-030,PVC Fittings
PVC-1/4HS,PVC,"1/4 BEND, STREET (H x S)","4""",pc,10,30,D040,LP302-040,PVC Fittings
PVC-1/4LOWHEEL,PVC,1/4 BEND W/ LOW HEEL INLET (H x H x H),"3"" x 3"" x 2""",pc,25,,D050,LP303-338,PVC Fittings
PVC-1/8HH,PVC,1/8 BEND (H x H),"1-1/2""",pc,100,1300,D053,LP321-015,PVC Fittings
PVC-1/8HH,PVC,1/8 BEND (H x H),"2""",pc,50,2450,D053,LP321-020,PVC Fittings
PVC-1/8HH,PVC,1/8 BEND (H x H),"3""",pc,25,1325,D053,LP321-030,PVC Fittings
PVC-1/8HH,PVC,1/8 BEND (H x H),"4""",pc,15,240,D053,LP321-040,PVC Fittings
PVC-1/8HH,PVC,1/8 BEND (H × H),"6""",pc,5,40,D053,,PVC Fittings
PVC-1/8HH,PVC,1/8 BEND (H × H),"8""",pc,4,40,D053,,PVC Fittings
PVC-1/8HS,PVC,1/8 BEND STREET (H x S),"1-1/2""",pc,100,2500,D055,LP323-015,PVC Fittings
PVC-1/8HS,PVC,1/8 BEND STREET (H x S),"2""",pc,50,1950,D055,LP323-020,PVC Fittings
PVC-1/8HS,PVC,1/8 BEND STREET (H x S),"3""",pc,25,925,D055,LP323-030,PVC Fittings
PVC-1/8HS,PVC,1/8 BEND STREET (H x S),"4""",pc,9,243,D055,LP323-040,PVC Fittings
PVC-45ELLSOC,PVC,45° ELL (SOC × SOC),"10""",pc,4,,A 023,,PVC Fittings
PVC-BUSHINGHS,PVC,FLUSH BUSHING (H x S),"2"" x 1-1/2""",pc,200,,D019,LP107-251,PVC Fittings
PVC-BUSHINGHS,PVC,FLUSH BUSHING (H x S),"3"" x 2""",pc,120,,D019,LP107-338,PVC Fittings
PVC-BUSHINGHS,PVC,FLUSH BUSHING (H x S),"4"" x 3""",pc,30,,D019,LP107-422,PVC Fittings
PVC-CAPSOC,PVC,CAP (SOC),"1-1/2""",pc,240,480,D025,LP116-015,PVC Fittings
PVC-CAPSOC,PVC,CAP (SOC),"2""",pc,180,360,D025,LP116-020,PVC Fittings
PVC-CAPSOC,PVC,CAP (SOC),"3""",pc,60,120,D025,LP116-030,PVC Fittings
PVC-CAPSOC,PVC,CAP (SOC),"4""",pc,20,40,D025,LP116-040,PVC Fittings
PVC-CLEANTEE,PVC,CLEANOUT TEE W/ C.O. PLUG (H x H),"2""",pc,60,420,D078,LP444X-020,PVC Fittings
PVC-CLEANTEE,PVC,CLEANOUT TEE W/ C.O. PLUG (H x H),"3""",pc,20,180,D078,LP444X-030,PVC Fittings
PVC-CLEANTEE,PVC,CLEANOUT TEE W/ C.O. PLUG (H x H),"4""",pc,10,30,D078,LP444X-040,PVC Fittings
PVC-CLSTFLNGH,PVC,CLOSET FLANGE W/TEST PLATE (H),"4"" x 3""",pc,20,,D121,LP800T-422,PVC Fittings
PVC-CPLNG,PVC,COUPLING (H x H),"1-1/2""",pc,400,800,D004,LP100-015,PVC Fittings
PVC-CPLNG,PVC,COUPLING (H x H),"2""",pc,100,1200,D004,LP100-020,PVC Fittings
PVC-CPLNG,PVC,COUPLING (H x H),"3""",pc,60,720,D004,LP100-030,PVC Fittings
PVC-CPLNG,PVC,COUPLING (H x H),"4""",pc,25,250,D004,LP100-040,PVC Fittings
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H × H),"10"" x 6""",ft,8,,D007,,PVC Fittings
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H × H),"10"" x 8""",ft,8,,D007,,PVC Fittings
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H x H),"2"" x 1-1/2""",ft,100,,D007,LP102-251,PVC Fittings
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H x H),"3"" x 2""",ft,80,,D007,LP102-338,PVC Fittings
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H × H),"4"" x 2""",ft,16,,D007,,PVC Fittings
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H x H),"4"" x 3""",ft,20,,D007,LP102-422,PVC Fittings
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H × H),"6"" x 3""",ft,15,,D007,,PVC Fittings
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H × H),"6"" x 4""",ft,6,,D007,,PVC Fittings
PVC-INCREDHH,PVC,PIPE INCREASER-REDUCER (H × H),"8"" x 6""",ft,12,,D007,,PVC Fittings
PVC-MADPTR,PVC,MALE ADAPTER (MPT x H),"1-1/2""",pc,300,600,D021,LP109-015,PVC Fittings
PVC-MADPTR,PVC,MALE ADAPTER (MPT x H),"2""",pc,200,400,D021,LP109-020,PVC Fittings
PVC-PIPE-FOAM,PVC,ASTM  F891 PVC Foam Core DWV Pipe,"1-1/2""",ft,1,,A100P01-,PIPE-FOAM,PVC Pipes
PVC-PIPE-FOAM,PVC,ASTM  F891 PVC Foam Core DWV Pipe,"2""",ft,1,,A100P01-,PIPE-FOAM,PVC Pipes
PVC-PIPE-FOAM,PVC,ASTM  F891 PVC Foam Core DWV Pipe,"3""",ft,1,,A100P01-,PIPE-FOAM,PVC Pipes
PVC-PIPE-FOAM,PVC,ASTM  F891 PVC Foam Core DWV Pipe,"4""",ft,1,,A100P01-,PIPE-FOAM,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D1785 SCH40 PVC,"1""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D1785 SCH40 PVC,"1/2""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D1785 SCH40 PVC,"10""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D1785 SCH40 PVC,"1-1/2""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D1785 SCH40 PVC,"1-1/4""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D 1785 SCH40 PVC,"2""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D1785 SCH40 PVC,"2-1/2""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D 1785 SCH40 PVC,"3""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D1785 SCH40 PVC,"3/4""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D 1785 SCH40 PVC,"4""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D1785 SCH40 PVC,"6""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PIPE-SOLID,PVC,ASTM D1785 SCH40 PVC,"8""",ft,1,,A01P01-SCH40-01,PIPE-SOLID,PVC Pipes
PVC-PTRAP,PVC,P-TRAP (H x H),"1-1/2""",pc,25,75,D103,LP706X-015,PVC Fittings
PVC-PTRAP,PVC,P-TRAP (H x H),"2""",pc,15,30,D103,LP706X-020,PVC Fittings
PVC-PTRAP,PVC,P-TRAP (H x H),"3""",pc,10,20,D103,LP706X-030,PVC Fittings
PVC-PTRAP,PVC,P-TRAP (H x H),"4""",pc,4,8,D103,LP706X-040,PVC Fittings
PVC-PTRAPLOW,PVC,"P-TRAP, LOW PROFILE(HxH)","1-1/2""",pc,25,375,A 062,LP710-015,PVC Fittings
PVC-PTRAPLOW,PVC,"P-TRAP, LOW PROFILE(HxH)","2""",pc,15,435,A 062,LP710-020,PVC Fittings
PVC-PTRAPLOW,PVC,"P-TRAP, LOW PROFILE(HxH)","3""",pc,10,240,A 062,LP710-030,PVC Fittings
PVC-PTRAPLOW,PVC,"P-TRAP, LOW PROFILE(HxH)","4""",pc,4,48,A 062,LP710-040,PVC Fittings
PVC-SANTEE,PVC,SANITARY TEE (ALL HUB),"1-1/2""",pc,60,720,D065,LP400-015,PVC Fittings
PVC-SANTEE,PVC,SANITARY TEE (ALL HUB),"2""",pc,35,595,D065,LP400-020,PVC Fittings
PVC-SANTEE,PVC,SANITARY TEE (ALL HUB),"3""",pc,15,60,D065,LP400-030,PVC Fittings
PVC-SANTEE,PVC,SANITARY TEE (ALL HUB),"4""",pc,5,50,D065,LP400-040,PVC Fittings
PVC-SANTEEDBL,PVC,"DOUBLE SANITARY TEE, REDUCING (ALL HUB)","2"" x 2"" x 1-1/2"" x 1-1/2""",pc,25,,D073,LP429-251,PVC Fittings
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2""",pc,60,,D066,,PVC Fittings
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2"" x 1-1/2""",pc,60,,D066,LP401-241,PVC Fittings
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2"" x 2""",pc,60,,D066,LP401-251,PVC Fittings
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"2"" x 2"" x 1-1/2""",pc,50,,D066,LP401-257,PVC Fittings
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"3"" x 2""",pc,15,,D066,,PVC Fittings
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"3"" x 3"" x 2""",pc,15,,D066,LP401-338,PVC Fittings
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"4"" x 4"" x 2""",pc,10,,D066,,PVC Fittings
PVC-SANTEERED,PVC,REDUCING SANITARY TEE (ALL HUB),"4"" x 4"" x 3""",pc,10,,D066,LP401-422,PVC Fittings
PVC-WYEDBL,PVC,REDUCING DOUBLE WYE (ALL HUB),"3"" x 3"" x 2"" x 2""",pc,15,,D097,LP612-338,PVC Fittings
PVC-WYEHUB,PVC,WYE (ALL HUB),"1-1/2""",pc,50,200,D090,LP600-015,PVC Fittings
PVC-WYEHUB,PVC,WYE (ALL HUB),"2""",pc,25,400,D090,LP600-020,PVC Fittings
PVC-WYEHUB,PVC,WYE (ALL HUB),"3""",pc,15,390,D090,,PVC Fittings
PVC-WYEHUB,PVC,WYE (ALL HUB),"4""",pc,8,64,D090,,PVC Fittings
PVC-WYEHUB,PVC,WYE (ALL HUB),"6""",pc,2,60,D090,,PVC Fittings
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"3"" x 3"" x 2""",pc,12,,D092,LP601-338,PVC Fittings
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"4"" x 4"" x 2""",pc,10,,D092,LP601-420,PVC Fittings
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"4"" x 4"" x 3""",pc,10,,D092,LP601-422,PVC Fittings
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"6"" x 6"" x 2""",pc,5,,D092,,PVC Fittings
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"6"" x 6"" x 3""",pc,3,,D092,,PVC Fittings
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"6"" x 6"" x 4""",pc,4,,D092,,PVC Fittings
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"8"" x 8"" x 4""",pc,4,,D092,,PVC Fittings
PVC-WYERED,PVC,REDUCING WYE (ALL HUB),"8"" x 8"" x 6""",pc,2,,D092,,PVC Fittings
