Tommur_Code,APBS_Code,Description,Size,Material,Unit,Order_Pcs,FOB_USD,DDP_USD,CURRENT_DDP_USD,Cost_Basis_USD,Cost_Source,Prev_quote_DDP,AllPro_Sell,Margin_pct,Markup_pct,Profit_per_unit,Line_cost,Line_revenue,Line_profit,DDP_vs_prev_pct,CURRENT_vs_DDP_pct,On_Website,uncertain
PEXB,PEX-FADPTR,PEX FEMALE ADAPTER (PEX x FIPT),"3/4""",PEX,pc,300,0.83,,1.33,1.33,CURRENT_DDP (DDP blank on sheet),,,,,,399.0,,,,,NO,False
PEXB,PEX-MADPTR,PEX MALE ADAPTER (PEX x MIPT),"1/2""",PEX,pc,500,0.4454,,0.71,0.71,CURRENT_DDP (DDP blank on sheet),,,,,,355.0,,,,,NO,False
PEXB,PEX-MADPTR,PEX MALE ADAPTER (PEX x MIPT),"3/4""",PEX,pc,300,0.7274,,1.16,1.16,CURRENT_DDP (DDP blank on sheet),,,,,,348.0,,,,,NO,False
PEXB,PEX-REDTEE,PEX REDUCING TEE,"1x1x3/4""",PEX,pc,120,0.8821,,1.41,1.41,CURRENT_DDP (DDP blank on sheet),,,,,,169.2,,,,,NO,False
PEXB,PEX-REDTEE,PEX REDUCING TEE,"3/4x3/4x1/2""",PEX,pc,240,0.49,,0.78,0.78,CURRENT_DDP (DDP blank on sheet),,,,,,187.2,,,,,NO,False
PEXB,PEX-TEE,PEX TEE,"1""",PEX,pc,240,0.906,,1.45,1.45,CURRENT_DDP (DDP blank on sheet),,,,,,348.0,,,,,NO,False
PEXB,PEX-TEE,PEX TEE,"1/2""",PEX,pc,800,0.2955,,0.47,0.47,CURRENT_DDP (DDP blank on sheet),,,,,,376.0,,,,,NO,False
PEXB,PEX-TEE,PEX TEE,"3/4""",PEX,pc,600,0.5254,,0.84,0.84,CURRENT_DDP (DDP blank on sheet),,,,,,504.0,,,,,NO,False
D035,PVC-1/4HH,1/4 BEND (H x H),"1-1/2""",PVC,pc,2900,0.2307,0.27,0.37,0.27,Tommur_DDP_USD,0.27,0.53,49.1,96.3,0.26,783.0,1537.0,754.0,0.0,37.0,YES,False
D035,PVC-1/4HH,1/4 BEND (H x H),"2""",PVC,pc,1600,0.3734,0.43,0.6,0.43,Tommur_DDP_USD,0.43,0.86,50.0,100.0,0.43,688.0,1376.0,688.0,0.0,39.5,YES,False
D004,PVC-CPLNG,COUPLING (H x H),"2""",PVC,pc,1200,0.1697,0.17,0.26,0.17,Tommur_DDP_USD,0.17,0.34,50.0,100.0,0.17,204.0,408.0,204.0,0.0,52.9,YES,False
D053,PVC-1/8HH,1/8 BEND (H x H),"3""",PVC,pc,1325,0.9091,1.05,1.46,1.05,Tommur_DDP_USD,1.05,2.16,51.4,105.7,1.11,1391.25,2862.0,1470.75,0.0,39.0,YES,False
D004,PVC-CPLNG,COUPLING (H x H),"1-1/2""",PVC,pc,800,0.1129,0.12,0.18,0.12,Tommur_DDP_USD,0.12,0.25,52.0,108.3,0.13,96.0,200.0,104.0,0.0,50.0,YES,False
D035,PVC-1/4HH,1/4 BEND (H x H),"3""",PVC,pc,1300,1.1046,1.27,1.77,1.27,Tommur_DDP_USD,1.27,2.65,52.1,108.7,1.38,1651.0,3445.0,1794.0,0.0,39.4,YES,False
D004,PVC-CPLNG,COUPLING (H x H),"3""",PVC,pc,720,0.5217,0.55,0.84,0.55,Tommur_DDP_USD,0.55,1.15,52.2,109.1,0.6,396.0,828.0,432.0,0.0,52.7,YES,False
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"3""",PVC,pc,840,1.4054,1.49,2.24,1.49,Tommur_DDP_USD,1.49,3.17,53.0,112.8,1.68,1251.6,2662.8,1411.2,0.0,50.3,YES,False
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"1-1/2""",PVC,pc,2500,0.2131,0.23,0.34,0.23,Tommur_DDP_USD,0.23,0.49,53.1,113.0,0.26,575.0,1225.0,650.0,0.0,47.8,YES,False
D053,PVC-1/8HH,1/8 BEND (H x H),"4""",PVC,pc,240,1.6227,1.87,2.6,1.87,Tommur_DDP_USD,1.87,4.11,54.5,119.8,2.24,448.8,986.4,537.6,0.0,39.0,YES,False
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"3""",PVC,pc,925,0.9476,1.0,1.52,1.0,Tommur_DDP_USD,1,2.22,55.0,122.0,1.22,925.0,2053.5,1128.5,0.0,52.0,YES,False
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x2x1-1/2""",PVC,pc,850,0.5,0.52,0.8,0.52,Tommur_DDP_USD,0.52,1.16,55.2,123.1,0.64,442.0,986.0,544.0,0.0,53.8,YES,False
D004,PVC-CPLNG,COUPLING (H x H),"4""",PVC,pc,250,0.8943,0.95,1.45,0.95,Tommur_DDP_USD,0.95,2.13,55.4,124.2,1.18,237.5,532.5,295.0,0.0,52.6,YES,False
D035,PVC-1/4HH,1/4 BEND (H x H),"4""",PVC,pc,140,2.1055,2.22,3.37,2.22,Tommur_DDP_USD,2.22,4.99,55.5,124.8,2.77,310.8,698.6,387.8,0.0,51.8,YES,False
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","4""",PVC,pc,30,2.0442,2.16,3.27,2.16,Tommur_DDP_USD,2.16,4.86,55.6,125.0,2.7,64.8,145.8,81.0,0.0,51.4,YES,False
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"4""",PVC,pc,243,1.629,1.72,2.61,1.72,Tommur_DDP_USD,1.72,3.87,55.6,125.0,2.15,417.96,940.41,522.45,0.0,51.7,YES,False
D053,PVC-1/8HH,1/8 BEND (H x H),"2""",PVC,pc,2450,0.306,0.35,0.49,0.35,Tommur_DDP_USD,0.35,0.79,55.7,125.7,0.44,857.5,1935.5,1078.0,0.0,40.0,YES,False
D053,PVC-1/8HH,1/8 BEND (H x H),"1-1/2""",PVC,pc,1300,0.2131,0.23,0.34,0.23,Tommur_DDP_USD,0.23,0.52,55.8,126.1,0.29,299.0,676.0,377.0,0.0,47.8,YES,False
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"2""",PVC,pc,1950,0.3077,0.36,0.51,0.36,Tommur_DDP_USD,0.38,0.82,56.1,127.8,0.46,702.0,1599.0,897.0,-5.3,41.7,YES,False
D103,PVC-PTRAP,P-TRAP (H x H),"2""",PVC,pc,30,0.9434,0.99,1.51,0.99,Tommur_DDP_USD,1.09,2.35,57.9,137.4,1.36,29.7,70.5,40.8,-9.2,52.5,YES,False
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","3""",PVC,pc,140,1.1699,1.22,1.84,1.22,Tommur_DDP_USD,1.22,2.95,58.6,141.8,1.73,170.8,413.0,242.2,0.0,50.8,YES,False
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"4x4x2""",PVC,pc,30,1.9964,2.18,3.2,2.18,Tommur_DDP_USD,2.18,5.3,58.9,143.1,3.12,65.4,159.0,93.6,0.0,46.8,YES,False
D121,PVC-CLSTFLNGH,CLOSET FLANGE W/TEST PLATE (H),"4x3""",PVC,pc,1060,1.0008,1.06,1.6,1.06,Tommur_DDP_USD,1.06,2.59,59.1,144.3,1.53,1123.6,2745.4,1621.8,0.0,50.9,YES,False
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"4x3""",PVC,pc,150,0.7954,0.82,1.25,0.82,Tommur_DDP_USD,0.62,2.01,59.2,145.1,1.19,123.0,301.5,178.5,32.3,52.4,YES,False
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"3x2""",PVC,pc,240,0.4344,0.46,0.7,0.46,Tommur_DDP_USD,0.46,1.15,60.0,150.0,0.69,110.4,276.0,165.6,0.0,52.2,YES,False
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"4""",PVC,pc,30,2.4488,2.59,3.92,2.59,Tommur_DDP_USD,2.59,6.47,60.0,149.8,3.88,77.7,194.1,116.4,0.0,51.4,YES,False
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"3x2""",PVC,pc,240,1.05,,1.68,1.68,CURRENT_DDP (DDP blank on sheet),,4.2,60.0,150.0,2.52,403.2,1008.0,604.8,,,YES,False
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2""",PVC,pc,250,0.419,,0.67,0.67,CURRENT_DDP (DDP blank on sheet),,1.68,60.1,150.7,1.01,167.5,420.0,252.5,,,YES,False
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"1-1/2""",PVC,pc,720,0.3459,0.36,0.59,0.36,Tommur_DDP_USD,0.36,0.91,60.4,152.8,0.55,259.2,655.2,396.0,0.0,63.9,YES,False
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"2""",PVC,pc,595,0.4845,0.52,0.78,0.52,Tommur_DDP_USD,0.57,1.32,60.6,153.8,0.8,309.4,785.4,476.0,-8.8,50.0,YES,False
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2x1-1/2""",PVC,pc,840,0.4289,0.45,0.68,0.45,Tommur_DDP_USD,0.45,1.15,60.9,155.6,0.7,378.0,966.0,588.0,0.0,51.1,YES,False
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"2""",PVC,pc,840,0.4876,0.52,0.78,0.52,Tommur_DDP_USD,0.52,1.34,61.2,157.7,0.82,436.8,1125.6,688.8,0.0,50.0,YES,False
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"4x4x3""",PVC,pc,60,2.5005,2.58,4.15,2.58,Tommur_DDP_USD,2.98,6.71,61.5,160.1,4.13,154.8,402.6,247.8,-13.4,60.9,YES,False
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","2""",PVC,pc,300,0.3641,0.38,0.59,0.38,Tommur_DDP_USD,0.38,0.99,61.6,160.5,0.61,114.0,297.0,183.0,0.0,55.3,YES,False
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","1-1/2""",PVC,pc,375,0.3749,0.41,0.62,0.41,Tommur_DDP_USD,0.61,1.22,66.4,197.6,0.81,153.75,457.5,303.75,-32.8,51.2,YES,False
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","1-1/2""",PVC,pc,360,0.2172,0.23,0.35,0.23,Tommur_DDP_USD,0.23,0.7,67.1,204.3,0.47,82.8,252.0,169.2,0.0,52.2,YES,False
D050,PVC-1/4LOWHEEL,1/4 BEND W/ LOW HEEL INLET (H x H x H),"3x3x2""",PVC,pc,190,1.2457,1.32,1.99,1.32,Tommur_DDP_USD,1.32,4.11,67.9,211.4,2.79,250.8,780.9,530.1,0.0,50.8,YES,False
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2x2""",PVC,pc,840,0.4461,0.47,0.71,0.47,Tommur_DDP_USD,0.47,1.53,69.3,225.5,1.06,394.8,1285.2,890.4,0.0,51.1,YES,False
D057,PVC-1/16HH,1/16 BEND (H x H),"3""",PVC,pc,150,0.7666,0.81,1.25,0.81,Tommur_DDP_USD,0.81,2.65,69.4,227.2,1.84,121.5,397.5,276.0,0.0,54.3,YES,False
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"4""",PVC,pc,30,2.6298,2.76,4.21,2.76,Tommur_DDP_USD,2.78,9.05,69.5,227.9,6.29,82.8,271.5,188.7,-0.7,52.5,YES,False
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"3""",PVC,pc,180,1.4709,1.56,2.37,1.56,Tommur_DDP_USD,1.56,5.25,70.3,236.5,3.69,280.8,945.0,664.2,0.0,51.9,YES,False
D090,PVC-WYEHUB,WYE (ALL HUB),"3""",PVC,pc,390,1.7967,2.07,2.88,2.07,Tommur_DDP_USD,2.07,7.19,71.2,247.3,5.12,807.3,2804.1,1996.8,0.0,39.1,YES,False
D090,PVC-WYEHUB,WYE (ALL HUB),"4""",PVC,pc,64,3.2748,3.77,5.24,3.77,Tommur_DDP_USD,3.77,13.1,71.2,247.5,9.33,241.28,838.4,597.12,0.0,39.0,YES,False
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"6x6x3""",PVC,pc,39,4.8091,5.09,7.7,5.09,Tommur_DDP_USD,5.06,19.24,73.5,278.0,14.15,198.51,750.36,551.85,0.6,51.3,YES,False
D057,PVC-1/16HH,1/16 BEND (H x H),"2""",PVC,pc,300,0.231,0.24,0.37,0.24,Tommur_DDP_USD,0.24,0.91,73.6,279.2,0.67,72.0,273.0,201.0,0.0,54.2,YES,False
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"8x6""",PVC,pc,48,4.1135,4.35,6.59,4.35,Tommur_DDP_USD,4.33,16.46,73.6,278.4,12.11,208.8,790.08,581.28,0.5,51.5,YES,False
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"6x6x4""",PVC,pc,40,5.3477,5.65,8.56,5.65,Tommur_DDP_USD,5.63,21.39,73.6,278.6,15.74,226.0,855.6,629.6,0.4,51.5,YES,False
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"8x8x6""",PVC,pc,40,11.6915,12.35,18.72,12.35,Tommur_DDP_USD,12.31,46.77,73.6,278.7,34.42,494.0,1870.8,1376.8,0.3,51.6,YES,False
D035,PVC-1/4HH,1/4 BEND (H x H),"6""",PVC,pc,40,5.7095,6.01,9.14,6.01,Tommur_DDP_USD,6.01,22.84,73.7,280.0,16.83,240.4,913.6,673.2,0.0,52.1,YES,False
D053,PVC-1/8HH,1/8 BEND (H x H),"6""",PVC,pc,40,3.5094,3.69,5.62,3.69,Tommur_DDP_USD,3.69,14.04,73.7,280.5,10.35,147.6,561.6,414.0,0.0,52.3,YES,False
D053,PVC-1/8HH,1/8 BEND (H x H),"8""",PVC,pc,40,6.7353,7.09,10.79,7.09,Tommur_DDP_USD,7.09,26.94,73.7,280.0,19.85,283.6,1077.6,794.0,0.0,52.2,YES,False
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"6x4""",PVC,pc,48,1.9433,2.05,3.11,2.05,Tommur_DDP_USD,2.05,7.78,73.7,279.5,5.73,98.4,373.44,275.04,0.0,51.7,YES,False
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"4x4x2""",PVC,pc,120,1.3979,1.47,2.24,1.47,Tommur_DDP_USD,1.47,5.59,73.7,280.3,4.12,176.4,670.8,494.4,0.0,52.4,YES,False
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"6x6x2""",PVC,pc,40,4.5354,4.8,7.29,4.8,Tommur_DDP_USD,4.8,18.22,73.7,279.6,13.42,192.0,728.8,536.8,0.0,51.9,YES,False
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"8x8x4""",PVC,pc,40,8.9605,9.47,14.4,9.47,Tommur_DDP_USD,9.47,35.97,73.7,279.8,26.5,378.8,1438.8,1060.0,0.0,52.1,YES,False
D090,PVC-WYEHUB,WYE (ALL HUB),"6""",PVC,pc,60,7.3662,7.96,12.11,7.96,Tommur_DDP_USD,7.96,30.26,73.7,280.2,22.3,477.6,1815.6,1338.0,0.0,52.1,YES,False
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"10x6""",PVC,pc,48,8.9137,9.4,14.33,9.4,Tommur_DDP_USD,9.43,35.82,73.8,281.1,26.42,451.2,1719.36,1268.16,-0.3,52.4,YES,False
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"10x8""",PVC,pc,50,8.9137,9.4,14.33,9.4,Tommur_DDP_USD,9.43,35.82,73.8,281.1,26.42,470.0,1791.0,1321.0,-0.3,52.4,YES,False
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"4x2""",PVC,pc,80,0.7527,0.79,1.25,0.79,Tommur_DDP_USD,0.79,3.01,73.8,281.0,2.22,63.2,240.8,177.6,0.0,58.2,YES,False
D090,PVC-WYEHUB,WYE (ALL HUB),"1-1/2""",PVC,pc,200,0.4301,0.45,0.69,0.45,Tommur_DDP_USD,0.45,1.72,73.8,282.2,1.27,90.0,344.0,254.0,0.0,53.3,YES,False
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"3x2""",PVC,pc,400,0.4273,0.48,0.68,0.48,Tommur_DDP_USD,0.49,1.84,73.9,283.3,1.36,192.0,736.0,544.0,-2.0,41.7,YES,False
D097,PVC-WYEDBL,REDUCING DOUBLE WYE (ALL HUB),"3x3x2x2""",PVC,pc,105,0.9168,1.67,2.36,1.67,Tommur_DDP_USD,1.67,6.55,74.5,292.2,4.88,175.35,687.75,512.4,0.0,41.3,YES,False
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"4x4x3""",PVC,pc,30,2.2529,2.38,3.59,2.38,Tommur_DDP_USD,2.36,9.65,75.3,305.5,7.27,71.4,289.5,218.1,0.8,50.8,YES,False
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"3""",PVC,pc,60,1.5034,1.7,2.41,1.7,Tommur_DDP_USD,1.73,6.99,75.7,311.2,5.29,102.0,419.4,317.4,-1.7,41.8,YES,False
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"4x3""",PVC,pc,120,0.8407,0.93,1.35,0.93,Tommur_DDP_USD,0.97,3.85,75.8,314.0,2.92,111.6,462.0,350.4,-4.1,45.2,YES,False
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"4""",PVC,pc,50,2.8505,3.16,4.56,3.16,Tommur_DDP_USD,3.14,14.75,78.6,366.8,11.59,158.0,737.5,579.5,0.6,44.3,YES,False
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"3x3x2""",PVC,pc,336,1.3904,1.49,2.27,1.49,Tommur_DDP_USD,1.49,7.05,78.9,373.2,5.56,500.64,2368.8,1868.16,0.0,52.3,YES,False
D021,PVC-MADPTR,MALE ADAPTER (MPT x H),"2""",PVC,pc,400,0.1256,0.13,0.2,0.13,Tommur_DDP_USD,0.13,0.65,80.0,400.0,0.52,52.0,260.0,208.0,0.0,53.8,YES,False
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"2""",PVC,pc,420,0.5224,0.56,0.85,0.56,Tommur_DDP_USD,0.56,2.87,80.5,412.5,2.31,235.2,1205.4,970.2,0.0,51.8,YES,False
D103,PVC-PTRAP,P-TRAP (H x H),"4""",PVC,pc,8,4.9085,5.18,7.86,5.18,Tommur_DDP_USD,5.19,26.75,80.6,416.4,21.57,41.44,214.0,172.56,-0.2,51.7,YES,False
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","2""",PVC,pc,435,0.9689,1.02,1.55,1.02,Tommur_DDP_USD,1.02,5.25,80.6,414.7,4.23,443.7,2283.75,1840.05,0.0,52.0,YES,False
D103,PVC-PTRAP,P-TRAP (H x H),"3""",PVC,pc,20,2.7576,2.91,4.41,2.91,Tommur_DDP_USD,2.91,15.05,80.7,417.2,12.14,58.2,301.0,242.8,0.0,51.5,YES,False
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"3x3x2""",PVC,pc,270,1.0264,1.1,1.66,1.1,Tommur_DDP_USD,1.18,5.75,80.9,422.7,4.65,297.0,1552.5,1255.5,-6.8,50.9,YES,False
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","3""",PVC,pc,240,2.8215,2.98,4.52,2.98,Tommur_DDP_USD,2.98,16.25,81.7,445.3,13.27,715.2,3900.0,3184.8,0.0,51.7,YES,False
D021,PVC-MADPTR,MALE ADAPTER (MPT x H),"1-1/2""",PVC,pc,600,0.0898,0.1,0.15,0.1,Tommur_DDP_USD,0.1,0.55,81.8,450.0,0.45,60.0,330.0,270.0,0.0,50.0,YES,False
D090,PVC-WYEHUB,WYE (ALL HUB),"2""",PVC,pc,400,0.5963,0.63,0.95,0.63,Tommur_DDP_USD,0.69,3.6,82.5,471.4,2.97,252.0,1440.0,1188.0,-8.7,50.8,YES,False
D103,PVC-PTRAP,P-TRAP (H x H),"1-1/2""",PVC,pc,75,0.5856,0.62,0.94,0.62,Tommur_DDP_USD,0.62,3.89,84.1,527.4,3.27,46.5,291.75,245.25,0.0,51.6,YES,False
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"2x1-1/2""",PVC,pc,400,0.115,0.12,0.18,0.12,Tommur_DDP_USD,0.12,0.85,85.9,608.3,0.73,48.0,340.0,292.0,0.0,50.0,YES,False
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","4""",PVC,pc,48,4.9934,5.28,7.99,5.28,Tommur_DDP_USD,5.28,38,86.1,619.7,32.72,253.44,1824,1570.56,0.0,51.3,YES,False
D025,PVC-CAPSOC,CAP (SOC),"1-1/2""",PVC,pc,480,0.0837,0.09,0.14,0.09,Tommur_DDP_USD,0.09,0.65,86.2,622.2,0.56,43.2,312.0,268.8,0.0,55.6,YES,False
D073,PVC-SANTEEDBL,"DOUBLE SANITARY TEE, REDUCING (ALL HUB)","2x2x1-1/2x1-1/2""",PVC,pc,150,0.5526,0.58,0.88,0.58,Tommur_DDP_USD,0.56,4.25,86.4,632.8,3.67,87.0,637.5,550.5,3.6,51.7,YES,False
D057,PVC-1/16HH,1/16 BEND (H x H),"1-1/2""",PVC,pc,400,0.1508,0.16,0.25,0.16,Tommur_DDP_USD,0.16,1.36,88.2,750.0,1.2,64.0,544.0,480.0,0.0,56.2,YES,False
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)","2""",PVC,pc,300,0.2374,0.25,0.38,0.25,Tommur_DDP_USD,0.25,2.26,88.9,804.0,2.01,75.0,678.0,603.0,0.0,52.0,YES,False
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"2x1-1/2""",PVC,pc,600,0.1486,0.17,0.24,0.17,Tommur_DDP_USD,0.17,1.6,89.4,841.2,1.43,102.0,960.0,858.0,0.0,41.2,YES,False
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)","3""",PVC,pc,150,0.7133,0.75,1.14,0.75,Tommur_DDP_USD,0.75,7.46,89.9,894.7,6.71,112.5,1119.0,1006.5,0.0,52.0,YES,False
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"6x3""",PVC,pc,60,1.121,1.18,1.86,1.18,Tommur_DDP_USD,3.18,12.08,90.2,923.7,10.9,70.8,724.8,654.0,-62.9,57.6,YES,False
D025,PVC-CAPSOC,CAP (SOC),"2""",PVC,pc,360,0.1224,0.13,0.2,0.13,Tommur_DDP_USD,0.13,1.48,91.2,1038.5,1.35,46.8,532.8,486.0,0.0,53.8,YES,False
D025,PVC-CAPSOC,CAP (SOC),"3""",PVC,pc,120,0.4057,0.43,0.65,0.43,Tommur_DDP_USD,0.43,5.42,92.1,1160.5,4.99,51.6,650.4,598.8,0.0,51.2,YES,False
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)","1-1/2""",PVC,pc,400,0.1637,0.15,0.23,0.15,Tommur_DDP_USD,0.15,2.05,92.7,1266.7,1.9,60.0,820.0,760.0,0.0,53.3,YES,False
D025,PVC-CAPSOC,CAP (SOC),"4""",PVC,pc,40,0.7133,0.76,1.14,0.76,Tommur_DDP_USD,0.76,10.5,92.8,1281.6,9.74,30.4,420.0,389.6,0.0,50.0,YES,False
