Tommur_Code,APBS_Code,Description,Size,Material,Unit,Order_Pcs,Pcs_per_Carton,Cartons,CBM,Carton_L_in,Carton_W_in,Carton_H_in,Carton_LxWxH_in,Carton_NetWt_lb,FedEx_DimWt_lb,FOB_USD,Est_Landed_45HQ_USD,DDP_USD,Notes
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","1-1/2""",PVC,pc,360,180,2,0.1552,22.0,16.5,13.0,22.0x16.5x13.0,33.6,34.1,,,0.2295,3mo sales
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","2""",PVC,pc,300,50,6,0.2245,15.9,11.0,13.0,15.9x11.0x13.0,15.3,16.4,,,0.3848,3mo sales
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","3""",PVC,pc,140,20,7,0.3897,16.1,11.0,19.1,16.1x11.0x19.1,19.8,24.4,,,1.2150,3mo sales
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)","4""",PVC,pc,30,10,3,0.167,16.1,11.0,19.1,16.1x11.0x19.1,17.6,24.4,,,2.1600,3mo sales
D053,PVC-1/8HH,1/8 BEND (H x H),"1-1/2""",PVC,pc,1300,100,13,0.4865,15.9,11.0,13.0,15.9x11.0x13.0,18.5,16.4,,,0.2273,3mo sales
D053,PVC-1/8HH,1/8 BEND (H x H),"2""",PVC,pc,2450,50,49,1.8337,15.9,11.0,13.0,15.9x11.0x13.0,14.4,16.4,0.3060,0.4978,0.3521,3mo sales
D053,PVC-1/8HH,1/8 BEND (H x H),"3""",PVC,pc,1325,25,53,2.9509,16.1,11.0,19.1,16.1x11.0x19.1,21.5,24.4,0.9091,1.4795,1.0462,3mo sales
D053,PVC-1/8HH,1/8 BEND (H x H),"4""",PVC,pc,240,15,16,1.2419,22.0,16.5,13.0,22.0x16.5x13.0,22.8,34.1,1.6227,2.7384,1.8675,3mo sales
D053,PVC-1/8HH,1/8 BEND (H x H),"6""",PVC,pc,40,5,8,0.6209,22.0,16.5,13.0,22.0x16.5x13.0,15.7,34.1,3.5094,6.2749,3.6941,expand product line
D053,PVC-1/8HH,1/8 BEND (H x H),"8""",PVC,pc,40,4,10,1.5842,24.0,20.9,19.3,24.0x20.9x19.3,24.5,69.5,6.7353,12.8416,7.0898,expand product line
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"1-1/2""",PVC,pc,2500,100,25,0.9355,15.9,11.0,13.0,15.9x11.0x13.0,18.5,16.4,,,0.2273,3mo sales
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"2""",PVC,pc,1950,50,39,1.4595,15.9,11.0,13.0,15.9x11.0x13.0,15.4,16.4,,,0.3500,3mo sales
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"3""",PVC,pc,925,25,37,2.0601,16.1,11.0,19.1,16.1x11.0x19.1,20.4,24.4,,,1.0013,3mo sales
D055,PVC-1/8HS,1/8 BEND STREET (H x S),"4""",PVC,pc,243,9,27,1.0104,15.9,11.0,13.0,15.9x11.0x13.0,12.3,16.4,,,1.6000,3mo sales
D025,PVC-CAPSOC,CAP (SOC),"1-1/2""",PVC,pc,480,240,2,0.0748,15.9,11.0,13.0,15.9x11.0x13.0,16.4,16.4,,,0.0906,3mo sales
D025,PVC-CAPSOC,CAP (SOC),"2""",PVC,pc,360,180,2,0.0748,15.9,11.0,13.0,15.9x11.0x13.0,17.5,16.4,,,0.1294,3mo sales
D025,PVC-CAPSOC,CAP (SOC),"3""",PVC,pc,120,60,2,0.0748,15.9,11.0,13.0,15.9x11.0x13.0,19.8,16.4,,,0.4286,3mo sales
D025,PVC-CAPSOC,CAP (SOC),"4""",PVC,pc,40,20,2,0.0748,15.9,11.0,13.0,15.9x11.0x13.0,11.5,16.4,,,0.7538,3mo sales
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"2""",PVC,pc,420,60,7,0.5433,22.0,16.5,13.0,22.0x16.5x13.0,27.0,34.1,,,0.5625,3mo sales
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"3""",PVC,pc,180,20,9,0.5011,16.1,11.0,19.1,16.1x11.0x19.1,24.3,24.4,,,1.5638,3mo sales
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),"4""",PVC,pc,30,10,3,0.167,16.1,11.0,19.1,16.1x11.0x19.1,21.5,24.4,,,2.7788,3mo sales
D121,PVC-CLSTFLNGH,CLOSET FLANGE W/TEST PLATE (H),"4x3""",PVC,pc,1060,20,53,2.738,16.1,11.0,17.7,16.1x11.0x17.7,17.3,22.7,,,1.3140,3mo sales
D004,PVC-CPLNG,COUPLING (H x H),"1-1/2""",PVC,pc,800,400,2,0.1552,22.0,16.5,13.0,22.0x16.5x13.0,36.2,34.1,,,0.1193,3mo sales
D004,PVC-CPLNG,COUPLING (H x H),"2""",PVC,pc,1200,100,12,0.4491,15.9,11.0,13.0,15.9x11.0x13.0,13.7,16.4,,,0.1688,3mo sales
D004,PVC-CPLNG,COUPLING (H x H),"3""",PVC,pc,720,60,12,0.6681,16.1,11.0,19.1,16.1x11.0x19.1,27.0,24.4,,,0.5513,3mo sales
D004,PVC-CPLNG,COUPLING (H x H),"4""",PVC,pc,250,25,10,0.5568,16.1,11.0,19.1,16.1x11.0x19.1,19.4,24.4,,,0.9450,3mo sales
D073,PVC-SANTEEDBL,"DOUBLE SANITARY TEE, REDUCING (ALL HUB)","2x2x1-1/2x1-1/2""",PVC,pc,150,25,6,0.2245,15.9,11.0,13.0,15.9x11.0x13.0,11.6,16.4,,,0.5625,3mo sales
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"2x1-1/2""",PVC,pc,400,200,2,0.0748,15.9,11.0,13.0,15.9x11.0x13.0,19.8,16.4,,,0.1215,3mo sales
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"3x2""",PVC,pc,240,120,2,0.1552,22.0,16.5,13.0,22.0x16.5x13.0,45.0,34.1,,,0.4590,3mo sales
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),"4x3""",PVC,pc,150,30,5,0.1871,15.9,11.0,13.0,15.9x11.0x13.0,15.2,16.4,,,0.6188,3mo sales
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"2""",PVC,pc,840,60,14,1.0866,22.0,16.5,13.0,22.0x16.5x13.0,24.6,34.1,,,0.5153,3mo sales
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"3""",PVC,pc,840,10,84,3.1434,15.9,11.0,13.0,15.9x11.0x13.0,11.7,16.4,,,1.4850,3mo sales
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"4""",PVC,pc,30,5,6,0.2245,15.9,11.0,13.0,15.9x11.0x13.0,10.6,16.4,,,2.5875,3mo sales
D021,PVC-MADPTR,MALE ADAPTER (MPT x H),"1-1/2""",PVC,pc,600,300,2,0.1552,22.0,16.5,13.0,22.0x16.5x13.0,24.5,34.1,,,0.1001,3mo sales
D021,PVC-MADPTR,MALE ADAPTER (MPT x H),"2""",PVC,pc,400,200,2,0.1552,22.0,16.5,13.0,22.0x16.5x13.0,21.6,34.1,,,0.1328,3mo sales
D103,PVC-PTRAP,P-TRAP (H x H),"1-1/2""",PVC,pc,75,25,3,0.1123,15.9,11.0,13.0,15.9x11.0x13.0,12.7,16.4,,,0.6188,3mo sales
D103,PVC-PTRAP,P-TRAP (H x H),"2""",PVC,pc,30,15,2,0.0748,15.9,11.0,13.0,15.9x11.0x13.0,13.2,16.4,0.9434,1.5503,1.0913,3mo sales
D103,PVC-PTRAP,P-TRAP (H x H),"3""",PVC,pc,20,10,2,0.1552,22.0,16.5,13.0,22.0x16.5x13.0,23.8,34.1,,,2.9138,3mo sales
D103,PVC-PTRAP,P-TRAP (H x H),"4""",PVC,pc,8,4,2,0.1114,16.1,11.0,19.1,16.1x11.0x19.1,16.3,24.4,,,5.1863,3mo sales
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","1-1/2""",PVC,pc,375,25,15,0.4082,15.9,11.0,9.4,15.9x11.0x9.4,12.3,11.9,,,0.6075,3mo sales
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","2""",PVC,pc,435,15,29,1.0852,15.9,11.0,13.0,15.9x11.0x13.0,12.8,16.4,,,1.0238,3mo sales
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","3""",PVC,pc,240,10,24,1.8628,22.0,16.5,13.0,22.0x16.5x13.0,24.3,34.1,,,2.9813,3mo sales
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)","4""",PVC,pc,48,4,12,0.6681,16.1,11.0,19.1,16.1x11.0x19.1,16.1,24.4,,,5.2763,3mo sales
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"2x1-1/2""",PVC,pc,600,100,6,0.2245,15.9,11.0,13.0,15.9x11.0x13.0,13.9,16.4,0.1486,0.2394,0.1710,3mo sales
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"3x2""",PVC,pc,400,80,5,0.3881,22.0,16.5,13.0,22.0x16.5x13.0,32.1,34.1,0.4272,0.6796,0.4916,3mo sales
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"4x3""",PVC,pc,120,20,6,0.2245,15.9,11.0,13.0,15.9x11.0x13.0,16.0,16.4,0.8407,1.3343,0.9675,3mo sales
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"10x6""",PVC,pc,48,12,4,0.8119,24.0,21.7,23.8,24.0x21.7x23.8,84.7,89.1,8.9537,13.9658,9.4250,expand product line
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"10x8""",PVC,pc,50,10,5,1.0149,24.0,21.7,23.8,24.0x21.7x23.8,73.2,89.1,8.9537,14.2411,9.4250,expand product line
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"4x2""",PVC,pc,80,40,2,0.1552,22.0,16.5,13.0,22.0x16.5x13.0,29.9,34.1,0.7527,1.2163,0.7923,expand product line
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"6x3""",PVC,pc,60,15,4,0.3105,22.0,16.5,13.0,22.0x16.5x13.0,32.7,34.1,3.0210,4.6687,3.1800,expand product line
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"6x4""",PVC,pc,48,6,8,0.2994,15.9,11.0,13.0,15.9x11.0x13.0,11.0,16.4,1.9453,3.2428,2.0477,expand product line
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),"8x6""",PVC,pc,48,12,4,0.4418,19.3,18.1,19.3,19.3x18.1x19.3,47.2,48.5,4.1155,6.5355,4.3321,expand product line
D097,PVC-WYEDBL,REDUCING DOUBLE WYE (ALL HUB),"3x3x2x2""",PVC,pc,105,15,7,0.5433,22.0,16.5,13.0,22.0x16.5x13.0,19.6,34.1,,,1.6650,3mo sales
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2""",PVC,pc,250,50,5,0.2382,16.1,11.0,16.3,16.1x11.0x16.3,20.9,20.9,0.4190,0.6759,,expand product line
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2x1-1/2""",PVC,pc,840,60,14,1.0866,22.0,16.5,13.0,22.0x16.5x13.0,21.2,34.1,,,0.4511,3mo sales
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x1-1/2x2""",PVC,pc,840,60,14,1.0866,22.0,16.5,13.0,22.0x16.5x13.0,25.2,34.1,,,0.5153,3mo sales
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"2x2x1-1/2""",PVC,pc,850,50,17,0.9465,16.1,11.0,19.1,16.1x11.0x19.1,18.0,24.4,,,0.4714,3mo sales
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"3x2""",PVC,pc,240,15,16,0.6061,16.1,11.0,13.0,16.1x11.0x13.0,13.7,16.6,1.0500,1.7050,,expand product line
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"3x3x2""",PVC,pc,270,15,18,0.6736,15.9,11.0,13.0,15.9x11.0x13.0,13.7,16.4,1.0264,1.6688,1.1812,3mo sales
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"4x4x2""",PVC,pc,120,10,12,0.4491,15.9,11.0,13.0,15.9x11.0x13.0,13.1,16.4,1.3979,2.3008,1.4715,expand product line
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),"4x4x3""",PVC,pc,30,10,3,0.167,16.1,11.0,19.1,16.1x11.0x19.1,18.0,24.4,2.0529,3.3847,2.3625,3mo sales
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"3x3x2""",PVC,pc,336,12,28,1.0478,15.9,11.0,13.0,15.9x11.0x13.0,14.6,16.4,1.2904,2.0965,1.4850,3mo sales
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"4x4x2""",PVC,pc,30,10,3,0.167,16.1,11.0,19.1,16.1x11.0x19.1,17.8,24.4,1.8964,3.1613,2.1825,3mo sales
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"4x4x3""",PVC,pc,60,10,6,0.4657,22.0,16.5,13.0,22.0x16.5x13.0,23.4,34.1,2.5905,4.3310,2.9813,3mo sales
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"6x6x2""",PVC,pc,40,5,8,0.6209,22.0,16.5,13.0,22.0x16.5x13.0,21.4,34.1,4.5554,7.7686,4.7951,expand product line
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"6x6x3""",PVC,pc,39,3,13,0.7238,16.1,11.0,19.1,16.1x11.0x19.1,13.6,24.4,4.8095,8.3787,5.0627,expand product line
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"6x6x4""",PVC,pc,40,4,10,0.8618,22.0,15.9,15.0,22.0x15.9x15.0,19.2,37.8,5.3472,9.3895,5.6286,expand product line
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"8x8x4""",PVC,pc,40,4,10,1.5842,24.0,20.9,19.3,24.0x20.9x19.3,32.8,69.5,8.9935,16.0663,9.4668,expand product line
D092,PVC-WYERED,REDUCING WYE (ALL HUB),"8x8x6""",PVC,pc,40,2,20,2.2089,19.3,18.1,19.3,19.3x18.1x19.3,21.3,48.5,11.6915,21.1904,12.3068,expand product line
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"1-1/2""",PVC,pc,720,60,12,0.551,16.1,11.0,15.7,16.1x11.0x15.7,17.7,20.2,0.3059,0.4991,0.3623,3mo sales
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"2""",PVC,pc,595,35,17,0.9465,16.1,11.0,19.1,16.1x11.0x19.1,16.5,24.4,0.4845,0.8213,0.5737,3mo sales
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"3""",PVC,pc,60,15,4,0.2227,16.1,11.0,19.1,16.1x11.0x19.1,21.0,24.4,1.5054,2.4519,1.7325,3mo sales
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),"4""",PVC,pc,50,5,10,0.4592,16.1,11.0,15.7,16.1x11.0x15.7,12.8,20.2,2.6505,4.5324,3.1387,3mo sales
D090,PVC-WYEHUB,WYE (ALL HUB),"1-1/2""",PVC,pc,200,50,4,0.1837,16.1,11.0,15.7,16.1x11.0x15.7,18.1,20.2,,,0.4545,expand product line
D090,PVC-WYEHUB,WYE (ALL HUB),"2""",PVC,pc,400,25,16,0.5988,15.9,11.0,13.0,15.9x11.0x13.0,14.1,16.4,0.5963,0.9734,0.6863,3mo sales
D090,PVC-WYEHUB,WYE (ALL HUB),"3""",PVC,pc,390,15,26,2.018,22.0,16.5,13.0,22.0x16.5x13.0,25.3,34.1,1.7987,2.9897,2.0700,3mo sales
D090,PVC-WYEHUB,WYE (ALL HUB),"4""",PVC,pc,64,8,8,0.6209,22.0,16.5,13.0,22.0x16.5x13.0,23.8,34.1,3.2748,5.4661,3.7687,3mo sales
D090,PVC-WYEHUB,WYE (ALL HUB),"6""",PVC,pc,60,2,30,2.3285,22.0,16.5,13.0,22.0x16.5x13.0,13.1,34.1,7.5662,13.9634,7.9645,expand product line
PEXB,PEX-ELBOW,ELBOW,"1-1/2""",PEX,pc,100,100,1,0.15,19.7,19.7,23.6,19.7x19.7x23.6,55.3,65.9,4.2433,6.1816,4.4667,PEX 3mo starter
PEXB,PEX-ELBOW,ELBOW,"1-1/4""",PEX,pc,200,100,2,0.25,19.7,19.7,19.7,19.7x19.7x19.7,47.2,54.9,2.4897,3.6570,2.6207,PEX 3mo starter
PEXB,PEX-ELBOW,ELBOW,"1/2""",PEX,pc,1200,100,12,0.72,19.7,19.7,9.4,19.7x19.7x9.4,26.9,26.3,0.4659,0.7141,0.4904,PEX 3mo starter
PEXB,PEX-ELBOW,ELBOW,"2""",PEX,pc,100,100,1,0.06,19.7,19.7,9.4,19.7x19.7x9.4,26.9,26.3,8.5387,12.2422,8.9881,PEX 3mo starter
PEXB,PEX-ELBOW,ELBOW,"3/4""",PEX,pc,900,100,9,0.585,19.7,19.7,10.2,19.7x19.7x10.2,30.0,28.5,0.7896,1.1804,0.8311,PEX 3mo starter
PEXB,PEX-CPLNG,PEX COUPLING,"1""",PEX,pc,240,150,2,0.12,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-CPLNG,PEX COUPLING,"1/2""",PEX,pc,900,300,3,0.18,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-CPLNG,PEX COUPLING,"3/4""",PEX,pc,600,200,3,0.195,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-FADPTR,PEX FEMALE ADAPTER (PEX x FIPT),"1/2""",PEX,pc,300,200,2,0.12,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-FADPTR,PEX FEMALE ADAPTER (PEX x FIPT),"3/4""",PEX,pc,300,150,2,0.13,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-MADPTR,PEX MALE ADAPTER (PEX x MIPT),"1/2""",PEX,pc,500,200,3,0.18,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-MADPTR,PEX MALE ADAPTER (PEX x MIPT),"3/4""",PEX,pc,300,150,2,0.13,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-REDTEE,PEX REDUCING TEE,"1x1x3/4""",PEX,pc,120,80,2,0.13,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-REDTEE,PEX REDUCING TEE,"3/4x3/4x1/2""",PEX,pc,240,100,3,0.195,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-TEE,PEX TEE,"1""",PEX,pc,240,100,3,0.18,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-TEE,PEX TEE,"1/2""",PEX,pc,800,200,4,0.24,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-TEE,PEX TEE,"3/4""",PEX,pc,600,150,4,0.26,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
4B200B (1),PEX-B PIPE,PEX-B PIPE,"1""",PEX,ft,2400,100,24,3.0,19.7,19.7,19.7,19.7x19.7x19.7,47.2,54.9,0.2941,0.5153,0.3096,PEX 3mo starter
4B200B (1),PEX-B PIPE,PEX-B PIPE,"1-1/2""",PEX,ft,600,100,6,1.05,19.7,19.7,27.6,19.7x19.7x27.6,67.2,76.8,0.9838,1.5256,1.0356,PEX 3mo starter
4B200B (1),PEX-B PIPE,PEX-B PIPE,"1-1/4""",PEX,ft,900,100,9,1.35,19.7,19.7,23.6,19.7x19.7x23.6,55.3,65.9,0.6179,0.9908,0.6504,PEX 3mo starter
4B200B (1),PEX-B PIPE,PEX-B PIPE,"1/2""",PEX,ft,6000,100,60,3.6,19.7,19.7,9.4,19.7x19.7x9.4,26.9,26.3,0.0915,0.1775,0.0963,PEX 3mo starter
4B200B (1),PEX-B PIPE,PEX-B PIPE,"2""",PEX,ft,300,100,3,0.135,19.7,19.7,7.1,19.7x19.7x7.1,22.7,19.8,1.9690,2.8050,2.0726,PEX 3mo starter
4B200B (1),PEX-B PIPE,PEX-B PIPE,"3/4""",PEX,ft,4500,100,45,2.925,19.7,19.7,10.2,19.7x19.7x10.2,30.0,28.5,0.1717,0.2943,0.1807,PEX 3mo starter
PEXB,PEX-REDUCER,REDUCER,"1-1/2x3/4""",PEX,pc,100,100,1,0.15,19.7,19.7,23.6,19.7x19.7x23.6,55.3,65.9,1.7339,2.5981,1.8252,PEX 3mo starter
PEXB,PEX-REDUCER,REDUCER,"1x1/2""",PEX,pc,200,100,2,0.25,19.7,19.7,19.7,19.7x19.7x19.7,47.2,54.9,0.7825,1.2192,0.8237,PEX 3mo starter
PEXB,PEX-REDUCER,REDUCER,"2x3/4""",PEX,pc,100,100,1,0.175,19.7,19.7,27.6,19.7x19.7x27.6,67.2,76.8,2.9513,4.3569,3.1067,PEX 3mo starter
PEXB,PEX-REDUCER,REDUCER,"3/4x1/2""",PEX,pc,300,100,3,0.135,19.7,19.7,7.1,19.7x19.7x7.1,30.0,19.8,0.5010,0.7521,0.5274,PEX 3mo starter
