Action,Match,Tommur_Code,APBS_Code,Gator_Code,NJPD_Desc,Description,Size,Material,Color,Unit,Order_Qty,CBM,FOB_USD,Duty_per_unit,Freight_dray_per_unit,Landed_APBS_USD,Landed_FOB_plus_freight_only,DDP_USD,CURRENT_DDP_USD,Tommur_cost_used,Better_buy,Landed_vs_DDP_USD,Sell_USD,Sell_Source,NJPD_Stick_USD,Margin_on_DDP_pct,Margin_on_Landed_pct,Line_cost_DDP,Line_cost_Landed,Line_revenue,Line_profit_DDP,Line_profit_Landed,Notes
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D040,PVC-1/4HS,,,"1/4 BEND, STREET (H x S)","1-1/2""",PVC,,pc,360,0.1552,0.2172,0.093,0.021,0.3312,0.2382,0.23,0.35,0.23,DDP cheaper,0.1012,0.7,All Pro website,,67.1,52.7,82.8,119.23,252.0,169.2,132.77,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D040,PVC-1/4HS,,,"1/4 BEND, STREET (H x S)","2""",PVC,,pc,300,0.2245,0.3641,0.1558,0.0365,0.5564,0.4006,0.38,0.59,0.38,DDP cheaper,0.1764,0.99,All Pro website,,61.6,43.8,114.0,166.92,297.0,183.0,130.08,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D040,PVC-1/4HS,,,"1/4 BEND, STREET (H x S)","3""",PVC,,pc,140,0.3897,1.1699,0.5007,0.1357,1.8063,1.3056,1.22,1.84,1.22,DDP cheaper,0.5863,2.95,All Pro website,,58.6,38.8,170.8,252.88,413.0,242.2,160.12,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D040,PVC-1/4HS,,,"1/4 BEND, STREET (H x S)","4""",PVC,,pc,30,0.167,2.0442,0.8749,0.2713,3.1904,2.3155,2.16,3.27,2.16,DDP cheaper,1.0304,4.86,All Pro website,,55.6,34.4,64.8,95.71,145.8,81.0,50.09,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D050,PVC-1/4LOWHEEL,,,1/4 BEND W/ LOW HEEL INLET (H x H x H),"3x3x2""",PVC,,pc,190,0.711,1.2457,0.5332,0.1824,1.9613,1.4281,1.32,1.99,1.32,DDP cheaper,0.6413,4.11,All Pro website,,67.9,52.3,250.8,372.65,780.9,530.1,408.25,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D053,PVC-1/8HH,,,1/8 BEND (H x H),"1-1/2""",PVC,,pc,1300,0.4865,0.2131,0.0912,0.0182,0.3225,0.2313,0.23,0.34,0.23,DDP cheaper,0.0925,0.52,All Pro website,,55.8,38.0,299.0,419.25,676.0,377.0,256.75,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D053,PVC-1/8HH,,,1/8 BEND (H x H),"2""",PVC,,pc,2450,1.8337,0.306,0.131,0.0365,0.4735,0.3425,0.35,0.49,0.35,DDP cheaper,0.1235,0.79,All Pro website,,55.7,40.1,857.5,1160.08,1935.5,1078.0,775.43,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D053,PVC-1/8HH,,,1/8 BEND (H x H),"3""",PVC,,pc,1325,2.9509,0.9091,0.3891,0.1086,1.4068,1.0177,1.05,1.46,1.05,DDP cheaper,0.3568,2.16,All Pro website,,51.4,34.9,1391.25,1864.01,2862.0,1470.75,997.99,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D053,PVC-1/8HH,,,1/8 BEND (H x H),"4""",PVC,,pc,240,1.2419,1.6227,0.6945,0.2522,2.5694,1.8749,1.87,2.6,1.87,DDP cheaper,0.6994,4.11,All Pro website,,54.5,37.5,448.8,616.66,986.4,537.6,369.74,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D053,PVC-1/8HH,,,1/8 BEND (H x H),"6""",PVC,,pc,40,0.6209,3.5094,1.502,0.7566,5.768,4.266,3.69,5.62,3.69,DDP cheaper,2.078,14.04,All Pro website,,73.7,58.9,147.6,230.72,561.6,414.0,330.88,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D053,PVC-1/8HH,,,1/8 BEND (H x H),"8""",PVC,,pc,40,1.5842,6.7353,2.8827,1.9305,11.5485,8.6658,7.09,10.79,7.09,DDP cheaper,4.4585,26.94,All Pro website,,73.7,57.1,283.6,461.94,1077.6,794.0,615.66,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D055,PVC-1/8HS,,,1/8 BEND STREET (H x S),"1-1/2""",PVC,,pc,2500,0.9355,0.2131,0.0912,0.0182,0.3225,0.2313,0.23,0.34,0.23,DDP cheaper,0.0925,0.49,All Pro website,,53.1,34.2,575.0,806.25,1225.0,650.0,418.75,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D055,PVC-1/8HS,,,1/8 BEND STREET (H x S),"2""",PVC,,pc,1950,1.4595,0.3077,0.1317,0.0365,0.4759,0.3442,0.36,0.51,0.36,DDP cheaper,0.1159,0.82,All Pro website,,56.1,42.0,702.0,928.0,1599.0,897.0,670.99,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D055,PVC-1/8HS,,,1/8 BEND STREET (H x S),"3""",PVC,,pc,925,2.0601,0.9476,0.4056,0.1086,1.4618,1.0562,1.0,1.52,1.0,DDP cheaper,0.4618,2.22,All Pro website,,55.0,34.2,925.0,1352.16,2053.5,1128.5,701.34,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D055,PVC-1/8HS,,,1/8 BEND STREET (H x S),"4""",PVC,,pc,243,1.0104,1.629,0.6972,0.2027,2.5289,1.8317,1.72,2.61,1.72,DDP cheaper,0.8089,3.87,All Pro website,,55.6,34.7,417.96,614.52,940.41,522.45,325.89,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D019,PVC-BUSHINGHS,,,FLUSH BUSHING (H x S),"2x1-1/2""",PVC,,pc,400,0.0748,0.115,0.0492,0.0091,0.1733,0.1241,0.12,0.18,0.12,DDP cheaper,0.0533,0.85,All Pro website,,85.9,79.6,48.0,69.32,340.0,292.0,270.68,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D019,PVC-BUSHINGHS,,,FLUSH BUSHING (H x S),"3x2""",PVC,,pc,240,0.1552,0.4344,0.1859,0.0315,0.6518,0.4659,0.46,0.7,0.46,DDP cheaper,0.1918,1.15,All Pro website,,60.0,43.3,110.4,156.43,276.0,165.6,119.57,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D019,PVC-BUSHINGHS,,,FLUSH BUSHING (H x S),"4x3""",PVC,,pc,150,0.1871,0.7954,0.3404,0.0608,1.1966,0.8562,0.82,1.25,0.82,DDP cheaper,0.3766,2.01,All Pro website,,59.2,40.5,123.0,179.49,301.5,178.5,122.01,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D025,PVC-CAPSOC,,,CAP (SOC),"1-1/2""",PVC,,pc,480,0.0748,0.0837,0.0358,0.0076,0.1271,0.0913,0.09,0.14,0.09,DDP cheaper,0.0371,0.65,All Pro website,,86.2,80.4,43.2,61.01,312.0,268.8,250.99,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D025,PVC-CAPSOC,,,CAP (SOC),"2""",PVC,,pc,360,0.0748,0.1224,0.0524,0.0101,0.1849,0.1325,0.13,0.2,0.13,DDP cheaper,0.0549,1.48,All Pro website,,91.2,87.5,46.8,66.56,532.8,486.0,466.24,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D025,PVC-CAPSOC,,,CAP (SOC),"3""",PVC,,pc,120,0.0748,0.4057,0.1736,0.0304,0.6097,0.4361,0.43,0.65,0.43,DDP cheaper,0.1797,5.42,All Pro website,,92.1,88.8,51.6,73.16,650.4,598.8,577.24,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D025,PVC-CAPSOC,,,CAP (SOC),"4""",PVC,,pc,40,0.0748,0.7133,0.3053,0.0912,1.1098,0.8045,0.76,1.14,0.76,DDP cheaper,0.3498,10.5,All Pro website,,92.8,89.4,30.4,44.39,420.0,389.6,375.61,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D078,PVC-CLEANTEE,,,CLEANOUT TEE W/ C.O. PLUG (H x H),"2""",PVC,,pc,420,0.5433,0.5224,0.2236,0.0631,0.8091,0.5855,0.56,0.85,0.56,DDP cheaper,0.2491,2.87,All Pro website,,80.5,71.8,235.2,339.82,1205.4,970.2,865.58,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D078,PVC-CLEANTEE,,,CLEANOUT TEE W/ C.O. PLUG (H x H),"3""",PVC,,pc,180,0.5011,1.4709,0.6295,0.1357,2.2361,1.6066,1.56,2.37,1.56,DDP cheaper,0.6761,5.25,All Pro website,,70.3,57.4,280.8,402.5,945.0,664.2,542.5,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D078,PVC-CLEANTEE,,,CLEANOUT TEE W/ C.O. PLUG (H x H),"4""",PVC,,pc,30,0.167,2.6298,1.1256,0.2713,4.0267,2.9011,2.76,4.21,2.76,DDP cheaper,1.2667,9.05,All Pro website,,69.5,55.5,82.8,120.8,271.5,188.7,150.7,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D121,PVC-CLSTFLNGH,,,CLOSET FLANGE W/TEST PLATE (H),"4x3""",PVC,,pc,1060,2.738,1.0008,0.4283,0.1259,1.555,1.1267,1.06,1.6,1.06,DDP cheaper,0.495,2.59,All Pro website,,59.1,40.0,1123.6,1648.3,2745.4,1621.8,1097.1,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D004,PVC-CPLNG,,,COUPLING (H x H),"1-1/2""",PVC,,pc,800,0.1552,0.1129,0.0483,0.0095,0.1707,0.1224,0.12,0.18,0.12,DDP cheaper,0.0507,0.25,All Pro website,,52.0,31.7,96.0,136.56,200.0,104.0,63.44,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D004,PVC-CPLNG,,,COUPLING (H x H),"2""",PVC,,pc,1200,0.4491,0.1697,0.0726,0.0182,0.2605,0.1879,0.17,0.26,0.17,DDP cheaper,0.0905,0.34,All Pro website,,50.0,23.4,204.0,312.6,408.0,204.0,95.4,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D004,PVC-CPLNG,,,COUPLING (H x H),"3""",PVC,,pc,720,0.6681,0.5217,0.2233,0.0452,0.7902,0.5669,0.55,0.84,0.55,DDP cheaper,0.2402,1.15,All Pro website,,52.2,31.3,396.0,568.94,828.0,432.0,259.06,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D004,PVC-CPLNG,,,COUPLING (H x H),"4""",PVC,,pc,250,0.5568,0.8943,0.3828,0.1086,1.3857,1.0029,0.95,1.45,0.95,DDP cheaper,0.4357,2.13,All Pro website,,55.4,34.9,237.5,346.42,532.5,295.0,186.07,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D007,PVC-INCREDHH,,,PIPE INCREASER-REDUCER (H x H),"10x6""",PVC,,pc,48,0.8119,8.9137,3.8151,0.8245,13.5533,9.7382,9.4,14.33,9.4,DDP cheaper,4.1533,35.82,All Pro website,,73.8,62.2,451.2,650.56,1719.36,1268.16,1068.8,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D007,PVC-INCREDHH,,,PIPE INCREASER-REDUCER (H x H),"10x8""",PVC,,pc,50,1.0149,8.9137,3.8151,0.9894,13.7182,9.9031,9.4,14.33,9.4,DDP cheaper,4.3182,35.82,All Pro website,,73.8,61.7,470.0,685.91,1791.0,1321.0,1105.09,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D007,PVC-INCREDHH,,,PIPE INCREASER-REDUCER (H x H),"2x1-1/2""",PVC,,pc,600,0.2245,0.1486,0.0636,0.0182,0.2304,0.1668,0.17,0.24,0.17,DDP cheaper,0.0604,1.6,All Pro website,,89.4,85.6,102.0,138.24,960.0,858.0,821.76,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D007,PVC-INCREDHH,,,PIPE INCREASER-REDUCER (H x H),"3x2""",PVC,,pc,400,0.3881,0.4273,0.1829,0.0473,0.6575,0.4746,0.48,0.68,0.48,DDP cheaper,0.1775,1.84,All Pro website,,73.9,64.3,192.0,263.0,736.0,544.0,473.0,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D007,PVC-INCREDHH,,,PIPE INCREASER-REDUCER (H x H),"4x2""",PVC,,pc,80,0.1552,0.7527,0.3222,0.0946,1.1695,0.8473,0.79,1.25,0.79,DDP cheaper,0.3795,3.01,All Pro website,,73.8,61.1,63.2,93.56,240.8,177.6,147.24,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D007,PVC-INCREDHH,,,PIPE INCREASER-REDUCER (H x H),"4x3""",PVC,,pc,120,0.2245,0.8407,0.3598,0.0912,1.2917,0.9319,0.93,1.35,0.93,DDP cheaper,0.3617,3.85,All Pro website,,75.8,66.4,111.6,155.0,462.0,350.4,307.0,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D007,PVC-INCREDHH,,,PIPE INCREASER-REDUCER (H x H),"6x3""",PVC,,pc,60,0.3105,1.121,0.4798,0.2523,1.8531,1.3733,1.18,1.86,1.18,DDP cheaper,0.6731,12.08,All Pro website,,90.2,84.7,70.8,111.19,724.8,654.0,613.61,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D007,PVC-INCREDHH,,,PIPE INCREASER-REDUCER (H x H),"6x4""",PVC,,pc,48,0.2994,1.9433,0.8317,0.304,3.079,2.2473,2.05,3.11,2.05,DDP cheaper,1.029,7.78,All Pro website,,73.7,60.4,98.4,147.79,373.44,275.04,225.65,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D007,PVC-INCREDHH,,,PIPE INCREASER-REDUCER (H x H),"8x6""",PVC,,pc,48,0.4418,4.1135,1.7606,0.4487,6.3228,4.5622,4.35,6.59,4.35,DDP cheaper,1.9728,16.46,All Pro website,,73.6,61.6,208.8,303.49,790.08,581.28,486.59,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D021,PVC-MADPTR,,,MALE ADAPTER (MPT x H),"1-1/2""",PVC,,pc,600,0.1552,0.0898,0.0384,0.0126,0.1408,0.1024,0.1,0.15,0.1,DDP cheaper,0.0408,0.55,All Pro website,,81.8,74.4,60.0,84.48,330.0,270.0,245.52,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D021,PVC-MADPTR,,,MALE ADAPTER (MPT x H),"2""",PVC,,pc,400,0.1552,0.1256,0.0538,0.0189,0.1983,0.1445,0.13,0.2,0.13,DDP cheaper,0.0683,0.65,All Pro website,,80.0,69.5,52.0,79.32,260.0,208.0,180.68,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D103,PVC-PTRAP,,,P-TRAP (H x H),"1-1/2""",PVC,,pc,75,0.1123,0.5856,0.2506,0.073,0.9092,0.6586,0.62,0.94,0.62,DDP cheaper,0.2892,3.89,All Pro website,,84.1,76.6,46.5,68.19,291.75,245.25,223.56,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D103,PVC-PTRAP,,,P-TRAP (H x H),"2""",PVC,,pc,30,0.0748,0.9434,0.4038,0.1215,1.4687,1.0649,0.99,1.51,0.99,DDP cheaper,0.4787,2.35,All Pro website,,57.9,37.5,29.7,44.06,70.5,40.8,26.44,
KEEP — PVC (All Pro sell),PVC — not on NJPD PEX docs,D103,PVC-PTRAP,,,P-TRAP (H x H),"3""",PVC,,pc,20,0.1552,2.7576,1.1803,0.3783,4.3162,3.1359,2.91,4.41,2.91,DDP cheaper,1.4062,15.05,All Pro website,,80.7,71.3,58.2,86.32,301.0,242.8,214.68,
