item,size,pal_fob,tom_fob,zhen_fob,pal_landed,tom_landed,zhen_landed,apbs_sell
PEX-F1807-CPLNG — Coupling F1807 brass crimp,"1/2""",0.359299516908212,,,0.5163,,,
PEX-F1807-CPLNG — Coupling F1807 brass crimp,"3/4""",0.504898013955985,,,0.7264,,,
PEX-F1807-DE90 — Drop-ear 90 FPT F1807 brass,"1/2""",1.79649758454106,,,2.5779,,,
PEX-F1807-DE90 — Drop-ear 90 FPT F1807 brass,"3/4""",1.999,,,2.8763,,,
PEX-F1807-ELBOW — 90 elbow F1807 brass crimp,"1""",1.50295222758991,,,2.164,,,
PEX-F1807-ELBOW — 90 elbow F1807 brass crimp,"1/2""",0.493156199677939,,,0.7077,,,
PEX-F1807-ELBOW — 90 elbow F1807 brass crimp,"3/4""",0.774959742351046,,,1.1141,,,
PEX-F1807-FADPTR — PEX x FIPT adapter F1807 brass,"1""",1.69082125603865,,,2.4326,,,
PEX-F1807-FADPTR — PEX x FIPT adapter F1807 brass,"1/2""",0.739734299516908,,,1.0637,,,
PEX-F1807-FADPTR — PEX x FIPT adapter F1807 brass,"3/4""",1.13895598497048,,,1.6376,,,
PEX-F1807-MADPTR — PEX x MIPT adapter F1807 brass,"1""",1.69082125603865,,,2.4326,,,
PEX-F1807-MADPTR — PEX x MIPT adapter F1807 brass,"1/2""",0.739734299516908,,,1.0637,,,
PEX-F1807-MADPTR — PEX x MIPT adapter F1807 brass,"3/4""",1.13895598497048,,,1.6376,,,
PEX-F1807-PLUG — Plug F1807 brass crimp,"1""",0.681025228126677,,,0.9774,,,
PEX-F1807-PLUG — Plug F1807 brass crimp,"1/2""",0.270061728395062,,,0.3877,,,
PEX-F1807-PLUG — Plug F1807 brass crimp,"3/4""",0.387479871175523,,,0.5566,,,
PEX-F1807-REDCPL — Reducing coupling F1807 brass,"1"" x 1/2""",0.732,,,1.0527,,,
PEX-F1807-REDCPL — Reducing coupling F1807 brass,"1"" x 3/4""",0.810185185185185,,,1.1645,,,
PEX-F1807-REDCPL — Reducing coupling F1807 brass,"3/4"" x 1/2""",0.479066022544283,,,0.6886,,,
PEX-F1807-REDTEE — Reducing tee F1807 brass,"1"" x 1"" x 1/2""",1.36084284460053,,,1.9549,,,
PEX-F1807-REDTEE — Reducing tee F1807 brass,"1"" x 1"" x 3/4""",1.55575065847234,,,2.2365,,,
PEX-F1807-REDTEE — Reducing tee F1807 brass,"3/4"" x 3/4"" x 1/2""",0.970496894409938,,,1.3937,,,
PEX-F1807-RING — Copper crimp ring,"1""",0.244690674053555,,,0.3535,,,
PEX-F1807-RING — Copper crimp ring,"1/2""",0.138504155124654,,,0.1989,,,
PEX-F1807-RING — Copper crimp ring,"3/4""",0.198522622345337,,,0.2857,,,
PEX-F1807-TEE — Tee F1807 brass crimp,"1""",1.899,,,2.7274,,,
PEX-F1807-TEE — Tee F1807 brass crimp,"1/2""",0.658979372747489,,,0.9459,,,
PEX-F1807-TEE — Tee F1807 brass crimp,"3/4""",1.05436699639598,,,1.5148,,,
PEX-F1807-VALVE — PEX x PEX ball valve F1807,"1""",4.37322674641515,,,6.2759,,,
PEX-F1807-VALVE — PEX x PEX ball valve F1807,"1/2""",2.38430718503182,,,3.4273,,,
PEX-F1807-VALVE — PEX x PEX ball valve F1807,"3/4""",3.10319377348363,,,4.4553,,,
PEX-ICEBOX — Ice maker outlet box 1/2 F1807,"1/2""",7.09,,,10.5818,,,
"PEX-WMBOX — Washing machine outlet box 1/2 F1807, no WHA","1/2""",12.99,,,19.0188,,,
PEX-WMBOX-WHA — Washing machine outlet box 1/2 F1807 with water-hammer arrestors,"1/2""",20.99,,,30.4588,,,
PVC-PIPE-SOLID — ASTM D1785 Sch 40 PVC solid pipe (20 ft stick),"1-1/2""",6.96063422583059,,,11.7262,,,1.03
PVC-PIPE-SOLID — ASTM D1785 Sch 40 PVC solid pipe (20 ft stick),"2""",9.35823155499209,,,16.0411,,,14.75
PVC-PIPE-SOLID — ASTM D1785 Sch 40 PVC solid pipe (20 ft stick),"3""",19.4290423741341,,,33.3965,,,27.5
PVC-PIPE-SOLID — ASTM D1785 Sch 40 PVC solid pipe (20 ft stick),"4""",27.6570381124619,,,49.1507,,,50.0
PVC-PIPE-FOAM — ASTM F891 PVC foam-core DWV pipe (20 ft stick),"1-1/2""",5.03730108448266,,,8.9759,,,9.25
PVC-PIPE-FOAM — ASTM F891 PVC foam-core DWV pipe (20 ft stick),"2""",6.77240441479691,,,12.3433,,,11.0
PVC-PIPE-FOAM — ASTM F891 PVC foam-core DWV pipe (20 ft stick),"3""",14.0604911918076,,,25.7195,,,19.0
PVC-PIPE-FOAM — ASTM F891 PVC foam-core DWV pipe (20 ft stick),"4""",20.0149617919133,,,38.2226,,,27.6
PVC-1/16HH — 1/16 BEND (H x H),"1-1/2""",,,,,0.162,,1.36
PVC-1/16HH — 1/16 BEND (H x H),"2""",,,,,0.2441,,0.91
PVC-1/16HH — 1/16 BEND (H x H),"3""",,,,,0.81,,2.65
"PVC-1/16HS — 1/16 BEND, STREET (H x S)","1-1/2""",,,,,0.1519,,2.05
"PVC-1/16HS — 1/16 BEND, STREET (H x S)","2""",,,,,0.2509,,2.26
"PVC-1/16HS — 1/16 BEND, STREET (H x S)","3""",,,,,0.7538,,7.46
PVC-1/4HH — 1/4 BEND (H x H),"1-1/2""",,0.2307,,,0.2655,,0.53
PVC-1/4HH — 1/4 BEND (H x H),"2""",,0.3734,,,0.4298,,0.86
PVC-1/4HH — 1/4 BEND (H x H),"3""",1.1945566286216,1.1046,,2.4468,1.2712,,2.65
PVC-1/4HH — 1/4 BEND (H x H),"4""",2.35715539947322,2.1055,,4.8478,2.2163,,4.99
PVC-1/4HH — 1/4 BEND (H × H),"6""",,5.7095,,,6.01,,22.84
PVC-1/4HHLNG — LONG SWEEP 1/4 BEND (H x H),"2""",0.464442493415277,,,0.7667,0.5153,,1.34
PVC-1/4HHLNG — LONG SWEEP 1/4 BEND (H x H),"3""",1.24635645302897,,,2.0285,1.485,,3.17
PVC-1/4HHLNG — LONG SWEEP 1/4 BEND (H x H),"4""",2.4451273046532,,,4.0241,2.5875,,6.47
"PVC-1/4HS — 1/4 BEND, STREET (H x S)","1-1/2""",,,,,0.2295,,0.7
"PVC-1/4HS — 1/4 BEND, STREET (H x S)","2""",,,,,0.3848,,0.99
"PVC-1/4HS — 1/4 BEND, STREET (H x S)","3""",,,,,1.215,,2.95
"PVC-1/4HS — 1/4 BEND, STREET (H x S)","4""",,,,,2.16,,4.86
PVC-1/4LOWHEEL — 1/4 BEND W/ LOW HEEL INLET (H x H x H),"3"" x 3"" x 2""",1.64934152765584,,,3.0971,1.3163,,4.11
PVC-1/8HH — 1/8 BEND (H x H),"1-1/2""",0.314661984196664,,,0.5091,0.2273,,0.52
PVC-1/8HH — 1/8 BEND (H x H),"2""",0.464442493415277,0.306,,0.7667,0.3521,,0.79
PVC-1/8HH — 1/8 BEND (H x H),"3""",1.24635645302897,0.9091,,2.0285,1.0462,,2.16
PVC-1/8HH — 1/8 BEND (H x H),"4""",2.4451273046532,1.6227,,4.0241,1.8675,,4.11
PVC-1/8HH — 1/8 BEND (H × H),"6""",,3.5094,,,3.6941,,14.04
PVC-1/8HH — 1/8 BEND (H × H),"8""",,6.7353,,,7.0898,,26.94
PVC-1/8HS — 1/8 BEND STREET (H x S),"1-1/2""",,,,,0.2273,,0.49
PVC-1/8HS — 1/8 BEND STREET (H x S),"2""",,,,,0.35,,0.82
PVC-1/8HS — 1/8 BEND STREET (H x S),"3""",,,,,1.0013,,2.22
PVC-1/8HS — 1/8 BEND STREET (H x S),"4""",,,,,1.6,,3.87
PVC-BUSHINGHS — FLUSH BUSHING (H x S),"2"" x 1-1/2""",0.144161545215101,,,0.2554,0.1215,,0.85
PVC-BUSHINGHS — FLUSH BUSHING (H x S),"3"" x 2""",0.534328358208955,,,0.8777,0.459,,1.15
PVC-BUSHINGHS — FLUSH BUSHING (H x S),"4"" x 3""",1.00438981562774,,,1.587,0.6188,,2.01
PVC-CAPSOC — CAP (SOC),"1-1/2""",0.177699736611062,,,0.342,0.0906,,0.65
PVC-CAPSOC — CAP (SOC),"2""",0.274100087796313,,,0.5101,0.1294,,1.48
PVC-CAPSOC — CAP (SOC),"3""",0.8071992976295,,,1.3594,0.4286,,5.42
PVC-CAPSOC — CAP (SOC),"4""",1.27164179104478,,,2.0646,0.7538,,10.5
PVC-CLEANTEE — CLEANOUT TEE W/ C.O. PLUG (H x H),"2""",0.653204565408253,,,1.1979,0.5625,,2.87
PVC-CLEANTEE — CLEANOUT TEE W/ C.O. PLUG (H x H),"3""",1.83107989464443,,,3.0288,1.5638,,5.25
PVC-CLEANTEE — CLEANOUT TEE W/ C.O. PLUG (H x H),"4""",3.86777875329236,,,6.2695,2.7788,,9.05
PVC-CLSTFLNGH — CLOSET FLANGE W/TEST PLATE (H),"4"" x 3""",1.13099209833187,,,1.9866,1.314,,2.59
PVC-CPLNG — COUPLING (H x H),"1-1/2""",0.141352063213345,,,0.2514,0.1193,,0.25
PVC-CPLNG — COUPLING (H x H),"2""",0.187532923617208,,,0.3666,0.1688,,0.34
PVC-CPLNG — COUPLING (H x H),"3""",0.658823529411765,,,1.0898,0.5513,,1.15
PVC-CPLNG — COUPLING (H x H),"4""",1.11483757682177,,,1.7419,0.945,,2.13
PVC-INCREDHH — PIPE INCREASER-REDUCER (H x H),"10x6""",,8.9537,,,9.425,,35.82
PVC-INCREDHH — PIPE INCREASER-REDUCER (H x H),"10x8""",,8.9537,,,9.425,,35.82
PVC-INCREDHH — PIPE INCREASER-REDUCER (H x H),"2"" x 1-1/2""",,0.1486,,,0.171,,1.6
PVC-INCREDHH — PIPE INCREASER-REDUCER (H x H),"3"" x 2""",,0.4272,,,0.4916,,1.84
PVC-INCREDHH — PIPE INCREASER-REDUCER (H × H),"4"" x 2""",,0.7527,,,0.7923,,3.01
PVC-INCREDHH — PIPE INCREASER-REDUCER (H x H),"4"" x 3""",,0.8407,,,0.9675,,3.85
PVC-INCREDHH — PIPE INCREASER-REDUCER (H × H),"6"" x 3""",,3.021,,,3.18,,12.08
PVC-INCREDHH — PIPE INCREASER-REDUCER (H × H),"6"" x 4""",,1.9453,,,2.0477,,7.78
PVC-INCREDHH — PIPE INCREASER-REDUCER (H × H),"8"" x 6""",,4.1155,,,4.3321,,16.46
PVC-MADPTR — MALE ADAPTER (MPT x H),"1-1/2""",0.156628621597893,,,0.2445,0.1001,,0.55
PVC-MADPTR — MALE ADAPTER (MPT x H),"2""",0.251799824407375,,,0.4093,0.1328,,0.65
PVC-PTRAP — P-TRAP (H x H),"1-1/2""",,,,,0.6188,,3.89
PVC-PTRAP — P-TRAP (H x H),"2""",1.2270412642669,0.9434,,2.247,1.0913,,2.35
PVC-PTRAP — P-TRAP (H x H),"3""",,,,,2.9138,,15.05
PVC-PTRAP — P-TRAP (H x H),"4""",,,,,5.1863,,26.75
"PVC-PTRAPLOW — P-TRAP, LOW PROFILE(HxH)","1-1/2""",,,,,0.6075,,1.22
"PVC-PTRAPLOW — P-TRAP, LOW PROFILE(HxH)","2""",,,,,1.0238,,5.25
"PVC-PTRAPLOW — P-TRAP, LOW PROFILE(HxH)","3""",,,,,2.9813,,16.25
"PVC-PTRAPLOW — P-TRAP, LOW PROFILE(HxH)","4""",,,,,5.2763,,38.0
PVC-SANTEE — SANITARY TEE (ALL HUB),"1-1/2""",0.415452151009658,0.3059,,0.7035,0.3623,,0.91
PVC-SANTEE — SANITARY TEE (ALL HUB),"2""",0.671466198419666,0.4845,,1.224,0.5737,,1.32
PVC-SANTEE — SANITARY TEE (ALL HUB),"3""",2.03810359964881,1.5054,,3.3761,1.7325,,6.99
PVC-SANTEE — SANITARY TEE (ALL HUB),"4""",3.5153643546971,2.6505,,5.7655,3.1387,,14.75
"PVC-SANTEEDBL — DOUBLE SANITARY TEE, REDUCING (ALL HUB)","2"" x 2"" x 1-1/2"" x 1-1/2""",,,,,0.5625,,4.25
PVC-SANTEERED — REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2""",0.690956979806848,0.419,,1.2958,0.6759,,1.68
PVC-SANTEERED — REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2"" x 1-1/2""",,,,,0.4511,,1.15
PVC-SANTEERED — REDUCING SANITARY TEE (ALL HUB),"2"" x 1-1/2"" x 2""",,,,,0.5153,,1.53
PVC-SANTEERED — REDUCING SANITARY TEE (ALL HUB),"2"" x 2"" x 1-1/2""",,,,,0.4714,,1.16
PVC-SANTEERED — REDUCING SANITARY TEE (ALL HUB),"3"" x 2""",,1.05,,,1.705,,4.2
PVC-SANTEERED — REDUCING SANITARY TEE (ALL HUB),"3"" x 3"" x 2""",,1.0264,,,1.1812,,5.75
PVC-SANTEERED — REDUCING SANITARY TEE (ALL HUB),"4"" x 4"" x 2""",2.60474100087796,1.3979,,4.3402,1.4715,,5.59
PVC-SANTEERED — REDUCING SANITARY TEE (ALL HUB),"4"" x 4"" x 3""",3.48323090430202,2.0529,,5.8016,2.3625,,9.65
PVC-WYEDBL — REDUCING DOUBLE WYE (ALL HUB),"3"" x 3"" x 2"" x 2""",,,,,1.665,,6.55
PVC-WYEHUB — WYE (ALL HUB),"1-1/2""",0.549780509218613,,,0.954,0.4545,,1.72
PVC-WYEHUB — WYE (ALL HUB),"2""",0.832309043020193,0.5963,,1.4856,0.6863,,3.6
PVC-WYEHUB — WYE (ALL HUB),"3""",2.46338893766462,1.7987,,4.1381,2.07,,7.19
PVC-WYEHUB — WYE (ALL HUB),"4""",4.42598770851624,3.2748,,7.0677,3.7687,,13.1
PVC-WYEHUB — WYE (ALL HUB),"6""",,7.5662,,,7.9645,,30.26
PVC-WYERED — REDUCING WYE (ALL HUB),"3"" x 3"" x 2""",,1.2904,,,1.485,,7.05
PVC-WYERED — REDUCING WYE (ALL HUB),"4"" x 4"" x 2""",2.60474100087796,1.8964,,4.3402,2.1825,,5.3
PVC-WYERED — REDUCING WYE (ALL HUB),"4"" x 4"" x 3""",3.48323090430202,2.5905,,5.8016,2.9813,,6.71
PVC-WYERED — REDUCING WYE (ALL HUB),"6"" x 6"" x 2""",,4.5554,,,4.7951,,18.22
PVC-WYERED — REDUCING WYE (ALL HUB),"6"" x 6"" x 3""",,4.8095,,,5.0627,,19.24
PVC-WYERED — REDUCING WYE (ALL HUB),"6"" x 6"" x 4""",,5.3472,,,5.6286,,21.39
PVC-WYERED — REDUCING WYE (ALL HUB),"8"" x 8"" x 4""",,8.9935,,,9.4668,,35.97
PVC-WYERED — REDUCING WYE (ALL HUB),"8"" x 8"" x 6""",,11.6915,,,12.3068,,46.77
