Tommur_Code,APBS_Code,Description,Size,Unit,Order_Pcs,Pcs_per_Carton,Cartons,CBM,FOB_USD,Notes
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)",2,pc,300,100,3,0.2328,,3mo core
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)",2,pc,300,50,6,0.2245,,3mo core
D004,PVC-CPLNG,COUPLING (H x H),4,pc,250,25,10,0.5568,,3mo core
D055,PVC-1/8HS,1/8 BEND STREET (H x S),4,pc,243,9,27,1.0104,,3mo core
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),3x2,pc,240,120,2,0.1552,,3mo core
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)",3,pc,240,10,24,1.8628,,3mo core
D007,PVC-INCREDHH,PIPE INCREASER-REDUCER (H x H),4x3,pc,200,20,10,0.3742,0.84,3mo core; +2 mo deepen
D050,PVC-1/4LOWHEEL,1/4 BEND W/ LOW HEEL INLET (H x H x H),3x3x2,pc,190,10,19,0.711,,3mo core
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),3,pc,180,20,9,0.5011,,3mo core
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),3,pc,150,15,10,0.5568,1.51,3mo core; +2 mo deepen
D057,PVC-1/16HH,1/16 BEND (H x H),3,pc,150,25,6,0.2245,,3mo core
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)",3,pc,150,25,6,0.2245,,3mo core
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),4x3,pc,150,30,5,0.1871,,3mo core
D073,PVC-SANTEEDBL,"DOUBLE SANITARY TEE, REDUCING (ALL HUB)",2x2x1-1/2x1-1/2,pc,150,25,6,0.2245,,3mo core
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)",3,pc,140,20,7,0.3897,,3mo core
D090,PVC-WYEHUB,WYE (ALL HUB),4,pc,136,8,17,1.3194,3.27,3mo core; +2 mo deepen
D025,PVC-CAPSOC,CAP (SOC),3,pc,120,60,2,0.0748,,3mo core
D097,PVC-WYEDBL,REDUCING DOUBLE WYE (ALL HUB),3x3x2x2,pc,105,15,7,0.5433,,3mo core
D065,PVC-SANTEE,SANITARY TEE (ALL HUB),4,pc,100,5,20,0.9184,2.65,3mo core; +2 mo deepen
D092,PVC-WYERED,REDUCING WYE (ALL HUB),4x4x3,pc,100,10,10,0.7762,2.59,3mo core; +2 mo deepen
D103,PVC-PTRAP,P-TRAP (H x H),1-1/2,pc,75,25,3,0.1123,,3mo core
D066,PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),4x4x3,pc,50,10,5,0.2784,2.05,3mo core; +2 mo deepen
D092,PVC-WYERED,REDUCING WYE (ALL HUB),4x4x2,pc,50,10,5,0.2784,1.9,3mo core; +2 mo deepen
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)",4,pc,48,4,12,0.6681,,3mo core
D103,PVC-PTRAP,P-TRAP (H x H),2,pc,45,15,3,0.1122,0.94,3mo core; +2 mo deepen
D025,PVC-CAPSOC,CAP (SOC),4,pc,40,20,2,0.0748,,3mo core
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),4,pc,30,5,6,0.2245,,3mo core
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)",4,pc,30,10,3,0.167,,3mo core
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),4,pc,30,10,3,0.167,,3mo core
D103,PVC-PTRAP,P-TRAP (H x H),3,pc,20,10,2,0.1552,,3mo core
D103,PVC-PTRAP,P-TRAP (H x H),4,pc,8,4,2,0.1114,,3mo core
