Tommur_Code,APBS_Code,Description,Size,Unit,Order_Pcs,Pcs_per_Carton,Cartons,CBM,FOB_USD,Notes
D057,PVC-1/16HH,1/16 BEND (H x H),2,pc,300,100,3,0.2328,,PVC DWV fitting family (peer margins 70–90%)
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)",2,pc,300,100,3,0.2328,,PVC DWV fitting family (peer margins 70–90%)
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)",2,pc,300,50,6,0.2245,,PVC DWV fitting family (peer margins 70–90%)
D004,PVC-CPLNG,COUPLING (H x H),4,pc,250,25,10,0.5568,,PVC DWV fitting family (peer margins 70–90%)
D055,PVC-1/8HS,1/8 BEND STREET (H x S),4,pc,243,9,27,1.0104,,PVC DWV fitting family (peer margins 70–90%)
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),3x2,pc,240,120,2,0.1552,,PVC DWV fitting family (peer margins 70–90%)
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)",3,pc,240,10,24,1.8628,,PVC DWV fitting family (peer margins 70–90%)
D050,PVC-1/4LOWHEEL,1/4 BEND W/ LOW HEEL INLET (H x H x H),3x3x2,pc,190,10,19,0.711,,PVC DWV fitting family (peer margins 70–90%)
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),3,pc,180,20,9,0.5011,,PVC DWV fitting family (peer margins 70–90%)
D057,PVC-1/16HH,1/16 BEND (H x H),3,pc,150,25,6,0.2245,,PVC DWV fitting family (peer margins 70–90%)
D059,PVC-1/16HS,"1/16 BEND, STREET (H x S)",3,pc,150,25,6,0.2245,,PVC DWV fitting family (peer margins 70–90%)
D019,PVC-BUSHINGHS,FLUSH BUSHING (H x S),4x3,pc,150,30,5,0.1871,,PVC DWV fitting family (peer margins 70–90%)
D073,PVC-SANTEEDBL,"DOUBLE SANITARY TEE, REDUCING (ALL HUB)",2x2x1-1/2x1-1/2,pc,150,25,6,0.2245,,PVC DWV fitting family (peer margins 70–90%)
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)",3,pc,140,20,7,0.3897,,PVC DWV fitting family (peer margins 70–90%)
D025,PVC-CAPSOC,CAP (SOC),3,pc,120,60,2,0.0748,,PVC DWV fitting family (peer margins 70–90%)
D097,PVC-WYEDBL,REDUCING DOUBLE WYE (ALL HUB),3x3x2x2,pc,105,15,7,0.5433,,PVC DWV fitting family (peer margins 70–90%)
D103,PVC-PTRAP,P-TRAP (H x H),1-1/2,pc,75,25,3,0.1123,,PVC DWV fitting family (peer margins 70–90%)
A 062,PVC-PTRAPLOW,"P-TRAP, LOW PROFILE(HxH)",4,pc,48,4,12,0.6681,,PVC DWV fitting family (peer margins 70–90%)
D025,PVC-CAPSOC,CAP (SOC),4,pc,40,20,2,0.0748,,PVC DWV fitting family (peer margins 70–90%)
D043,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),4,pc,30,5,6,0.2245,,PVC DWV fitting family (peer margins 70–90%)
D040,PVC-1/4HS,"1/4 BEND, STREET (H x S)",4,pc,30,10,3,0.167,,PVC DWV fitting family (peer margins 70–90%)
D078,PVC-CLEANTEE,CLEANOUT TEE W/ C.O. PLUG (H x H),4,pc,30,10,3,0.167,,PVC DWV fitting family (peer margins 70–90%)
D103,PVC-PTRAP,P-TRAP (H x H),3,pc,20,10,2,0.1552,,PVC DWV fitting family (peer margins 70–90%)
D103,PVC-PTRAP,P-TRAP (H x H),4,pc,8,4,2,0.1114,,PVC DWV fitting family (peer margins 70–90%)
