Tommur_Code,APBS_Code,Description,Size,Material,Unit,Order_Pcs,Pcs_per_Carton,Cartons,CBM,Carton_L_cm,Carton_W_cm,Carton_H_cm,Carton_LxWxH_cm,Carton_NetWt_kg,FedEx_DimWt_lb,FOB_USD,Est_Landed_45HQ_USD,DDP_if_no_FOB,Notes
PEXB,PEX-MADPTR,PEX MALE ADAPTER (PEX x MIPT),"3/4""",PEX,pc,300,150,2,0.13,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-REDTEE,PEX REDUCING TEE,"1x1x3/4""",PEX,pc,120,80,2,0.13,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-REDTEE,PEX REDUCING TEE,"3/4x3/4x1/2""",PEX,pc,240,100,3,0.195,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-TEE,PEX TEE,"1""",PEX,pc,240,100,3,0.18,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-TEE,PEX TEE,"1/2""",PEX,pc,800,200,4,0.24,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
PEXB,PEX-TEE,PEX TEE,"3/4""",PEX,pc,600,150,4,0.26,,,,,,,,,,NEW SKU — factory quote FOB + confirm carton pack
4B200B (1),PEX-B PIPE,PEX-B PIPE,"1""",PEX,ft,2400,100,24,3.0,50,50,50,50x50x50,21.40,54.9,0.2941,0.5153,,PEX 3mo starter
4B200B (1),PEX-B PIPE,PEX-B PIPE,"1-1/2""",PEX,ft,600,100,6,1.05,50,50,70,50x50x70,30.50,76.8,0.9838,1.5256,,PEX 3mo starter
4B200B (1),PEX-B PIPE,PEX-B PIPE,"1-1/4""",PEX,ft,900,100,9,1.35,50,50,60,50x50x60,25.10,65.9,0.6179,0.9908,,PEX 3mo starter
4B200B (1),PEX-B PIPE,PEX-B PIPE,"1/2""",PEX,ft,6000,100,60,3.6,50,50,24,50x50x24,12.20,26.3,0.0915,0.1775,,PEX 3mo starter
4B200B (1),PEX-B PIPE,PEX-B PIPE,"2""",PEX,ft,300,100,3,0.135,50,50,18,50x50x18,10.30,19.8,1.9690,2.8050,,PEX 3mo starter
4B200B (1),PEX-B PIPE,PEX-B PIPE,"3/4""",PEX,ft,4500,100,45,2.925,50,50,26,50x50x26,13.60,28.5,0.1717,0.2943,,PEX 3mo starter
PEXB,PEX-REDUCER,REDUCER,"1-1/2x3/4""",PEX,pc,100,100,1,0.15,50,50,60,50x50x60,25.10,65.9,1.7339,2.5981,,PEX 3mo starter
PEXB,PEX-REDUCER,REDUCER,"1x1/2""",PEX,pc,200,100,2,0.25,50,50,50,50x50x50,21.40,54.9,0.7825,1.2192,,PEX 3mo starter
PEXB,PEX-REDUCER,REDUCER,"2x3/4""",PEX,pc,100,100,1,0.175,50,50,70,50x50x70,30.50,76.8,2.9513,4.3569,,PEX 3mo starter
PEXB,PEX-REDUCER,REDUCER,"3/4x1/2""",PEX,pc,300,100,3,0.135,50,50,18,50x50x18,13.60,19.8,0.5010,0.7521,,PEX 3mo starter
