line,family,code,desc,size,spec,unit,status,catalog,mill_note
11,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 10 ft stick","1""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,New pack — we want to stock,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
12,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 20 ft stick","1""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,New pack — we want to stock,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
13,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 100 ft coil","1""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,On site — listed per ft,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
14,PEX-B pipe,PEX-B PIPE,"PEX-B potable pipe, 300 ft coil","1""","ASTM F876/F877 PEX-B CTS, NSF-pw / cUPC",ft,New pack — we want to stock,p.4,"Quote white, red, and blue separately (FOB each color). CTS, not metric OD."
15,PEX F2159 PPSU,PEX-ELBOW,90 elbow F2159 PPSU crimp,"1/2""","ASTM F2159, NSF/ANSI 61, cUPC",pc,On site,p.13,PPSU crimp (copper-ring / pinch-clamp).
16,PEX F2159 PPSU,PEX-ELBOW,90 elbow F2159 PPSU crimp,"3/4""","ASTM F2159, NSF/ANSI 61, cUPC",pc,On site,p.13,PPSU crimp (copper-ring / pinch-clamp).
17,PEX F2159 PPSU,PEX-ELBOW,90 elbow F2159 PPSU crimp,"1""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
18,PEX F2159 PPSU,PEX-CPLNG,Coupling F2159 PPSU crimp,"1/2""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
19,PEX F2159 PPSU,PEX-CPLNG,Coupling F2159 PPSU crimp,"3/4""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
20,PEX F2159 PPSU,PEX-CPLNG,Coupling F2159 PPSU crimp,"1""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
21,PEX F2159 PPSU,PEX-TEE,Tee F2159 PPSU crimp,"1/2""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
22,PEX F2159 PPSU,PEX-TEE,Tee F2159 PPSU crimp,"3/4""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
23,PEX F2159 PPSU,PEX-TEE,Tee F2159 PPSU crimp,"1""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
24,PEX F2159 PPSU,PEX-REDUCER,Reducing coupling F2159 PPSU,"3/4"" x 1/2""","ASTM F2159, NSF/ANSI 61, cUPC",pc,On site,p.13,PPSU crimp (copper-ring / pinch-clamp).
25,PEX F2159 PPSU,PEX-REDUCER,Reducing coupling F2159 PPSU,"1"" x 1/2""","ASTM F2159, NSF/ANSI 61, cUPC",pc,On site,p.13,PPSU crimp (copper-ring / pinch-clamp).
26,PEX F2159 PPSU,PEX-REDUCER,Reducing coupling F2159 PPSU,"1"" x 3/4""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
27,PEX F2159 PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,"3/4"" x 3/4"" x 1/2""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
28,PEX F2159 PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,"1"" x 1"" x 3/4""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
29,PEX F2159 PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,"1"" x 1"" x 1/2""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
30,PEX F2159 PPSU,PEX-PLUG,Plug F2159 PPSU,"1/2""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
31,PEX F2159 PPSU,PEX-PLUG,Plug F2159 PPSU,"3/4""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
32,PEX F2159 PPSU,PEX-PLUG,Plug F2159 PPSU,"1""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.13,PPSU crimp (copper-ring / pinch-clamp).
33,PEX F2159 PPSU,PEX-MADPTR,Male adapter PEX x MIPT F2159 PPSU,"1/2""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.14,PPSU crimp (copper-ring / pinch-clamp).
34,PEX F2159 PPSU,PEX-MADPTR,Male adapter PEX x MIPT F2159 PPSU,"3/4""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.14,PPSU crimp (copper-ring / pinch-clamp).
35,PEX F2159 PPSU,PEX-MADPTR,Male adapter PEX x MIPT F2159 PPSU,"1""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.14,PPSU crimp (copper-ring / pinch-clamp).
36,PEX F2159 PPSU,PEX-FADPTR,Female swivel adapter PEX x FIPT F2159 PPSU,"1/2""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.14,PPSU crimp (copper-ring / pinch-clamp).
37,PEX F2159 PPSU,PEX-FADPTR,Female swivel adapter PEX x FIPT F2159 PPSU,"3/4""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.14,PPSU crimp (copper-ring / pinch-clamp).
38,PEX F2159 PPSU,PEX-FADPTR,Female swivel adapter PEX x FIPT F2159 PPSU,"1""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.14,PPSU crimp (copper-ring / pinch-clamp).
39,PEX F2159 PPSU,PEX-DE90,Drop-ear / male elbow PEX x MPT F2159 PPSU,"1/2""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.14,PPSU crimp (copper-ring / pinch-clamp).
40,PEX F2159 PPSU,PEX-DE90,Drop-ear / male elbow PEX x MPT F2159 PPSU,"3/4""","ASTM F2159, NSF/ANSI 61, cUPC",pc,New — we want to stock,p.14,PPSU crimp (copper-ring / pinch-clamp).
41,PEX F1807 brass,PEX-F1807-CPLNG,Coupling F1807 brass crimp,"1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
42,PEX F1807 brass,PEX-F1807-CPLNG,Coupling F1807 brass crimp,"3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
43,PEX F1807 brass,PEX-F1807-CPLNG,Coupling F1807 brass crimp,"1""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
44,PEX F1807 brass,PEX-F1807-ELBOW,90 elbow F1807 brass crimp,"1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
45,PEX F1807 brass,PEX-F1807-ELBOW,90 elbow F1807 brass crimp,"3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
46,PEX F1807 brass,PEX-F1807-ELBOW,90 elbow F1807 brass crimp,"1""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
47,PEX F1807 brass,PEX-F1807-TEE,Tee F1807 brass crimp,"1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
48,PEX F1807 brass,PEX-F1807-TEE,Tee F1807 brass crimp,"3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
49,PEX F1807 brass,PEX-F1807-TEE,Tee F1807 brass crimp,"1""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
50,PEX F1807 brass,PEX-F1807-PLUG,Plug F1807 brass crimp,"1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
51,PEX F1807 brass,PEX-F1807-PLUG,Plug F1807 brass crimp,"3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
52,PEX F1807 brass,PEX-F1807-PLUG,Plug F1807 brass crimp,"1""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
53,PEX F1807 brass,PEX-F1807-REDCPL,Reducing coupling F1807 brass,"3/4"" x 1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
54,PEX F1807 brass,PEX-F1807-REDCPL,Reducing coupling F1807 brass,"1"" x 3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
55,PEX F1807 brass,PEX-F1807-REDCPL,Reducing coupling F1807 brass,"1"" x 1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
56,PEX F1807 brass,PEX-F1807-REDTEE,Reducing tee F1807 brass,"3/4"" x 3/4"" x 1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
57,PEX F1807 brass,PEX-F1807-REDTEE,Reducing tee F1807 brass,"1"" x 1"" x 3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
58,PEX F1807 brass,PEX-F1807-REDTEE,Reducing tee F1807 brass,"1"" x 1"" x 1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
59,PEX F1807 brass,PEX-F1807-MADPTR,PEX x MIPT adapter F1807 brass,"1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
60,PEX F1807 brass,PEX-F1807-MADPTR,PEX x MIPT adapter F1807 brass,"3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
61,PEX F1807 brass,PEX-F1807-MADPTR,PEX x MIPT adapter F1807 brass,"1""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
62,PEX F1807 brass,PEX-F1807-FADPTR,PEX x FIPT adapter F1807 brass,"1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
63,PEX F1807 brass,PEX-F1807-FADPTR,PEX x FIPT adapter F1807 brass,"3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
64,PEX F1807 brass,PEX-F1807-FADPTR,PEX x FIPT adapter F1807 brass,"1""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
65,PEX F1807 brass,PEX-F1807-DE90,Drop-ear 90 FPT F1807 brass,"1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
66,PEX F1807 brass,PEX-F1807-DE90,Drop-ear 90 FPT F1807 brass,"3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.6–8,Lead-free brass. Do not quote DZR / non-potable.
67,PEX F1807 brass,PEX-F1807-RING,Copper crimp ring,"1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.8,Lead-free brass. Do not quote DZR / non-potable.
68,PEX F1807 brass,PEX-F1807-RING,Copper crimp ring,"3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.8,Lead-free brass. Do not quote DZR / non-potable.
69,PEX F1807 brass,PEX-F1807-RING,Copper crimp ring,"1""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.8,Lead-free brass. Do not quote DZR / non-potable.
70,PEX F1807 brass,PEX-F1807-CLAMP,Stainless steel pinch clamp,"1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.8,Lead-free brass. Do not quote DZR / non-potable.
71,PEX F1807 brass,PEX-F1807-CLAMP,Stainless steel pinch clamp,"3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.8,Lead-free brass. Do not quote DZR / non-potable.
72,PEX F1807 brass,PEX-F1807-CLAMP,Stainless steel pinch clamp,"1""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.8,Lead-free brass. Do not quote DZR / non-potable.
73,PEX F1807 brass,PEX-F1807-VALVE,PEX x PEX ball valve F1807,"1/2""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.11,Lead-free brass. Do not quote DZR / non-potable.
74,PEX F1807 brass,PEX-F1807-VALVE,PEX x PEX ball valve F1807,"3/4""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.11,Lead-free brass. Do not quote DZR / non-potable.
75,PEX F1807 brass,PEX-F1807-VALVE,PEX x PEX ball valve F1807,"1""","ASTM F1807 lead-free brass, NSF/ANSI 61 + 372, cUPC",pc,New — we want to stock,p.11,Lead-free brass. Do not quote DZR / non-potable.
76,PEX outlet boxes,PEX-WMBOX,"Washing machine outlet box 1/2 F1807, no WHA","1/2""","1/2 F1807 PEX, lead-free",pc,New — we want to stock,p.30,
77,PEX outlet boxes,PEX-WMBOX-WHA,Washing machine outlet box 1/2 F1807 with water-hammer arrestors,"1/2""","1/2 F1807 PEX, lead-free, with WHA",pc,New — we want to stock,p.30,
78,PEX outlet boxes,PEX-ICEBOX,Ice maker outlet box 1/2 F1807,"1/2""","1/2 F1807 PEX, lead-free",pc,New — we want to stock,p.30,
79,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"1""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
80,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"1/2""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
81,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"10""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
82,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"1-1/2""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
83,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"1-1/4""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
84,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"2""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
85,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"2-1/2""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
86,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"3""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
87,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"3/4""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
88,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"4""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
89,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"6""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
90,PVC Sch40 pipe,PVC-PIPE-SOLID,ASTM D1785 Sch 40 PVC solid pipe,"8""","ASTM D1785 Sch 40 solid PVC, NSF-pw, 20 ft sticks (also quote 10 ft)",ft,On site,p.32,"Plain end. Quote USD per foot, 20 ft length. NSF-pw in Palconn name."
91,PVC foam-core pipe,PVC-PIPE-FOAM,ASTM F891 PVC foam-core DWV pipe,"1-1/2""","ASTM F891 foam-core DWV pipe, 20 ft sticks",20 ft stick,On site,Quote if you extrude ASTM F891,"Leave FOB blank if you do not extrude F891. Qty is 20 ft lengths, not meters."
92,PVC foam-core pipe,PVC-PIPE-FOAM,ASTM F891 PVC foam-core DWV pipe,"2""","ASTM F891 foam-core DWV pipe, 20 ft sticks",20 ft stick,On site,Quote if you extrude ASTM F891,"Leave FOB blank if you do not extrude F891. Qty is 20 ft lengths, not meters."
93,PVC foam-core pipe,PVC-PIPE-FOAM,ASTM F891 PVC foam-core DWV pipe,"3""","ASTM F891 foam-core DWV pipe, 20 ft sticks",20 ft stick,On site,Quote if you extrude ASTM F891,"Leave FOB blank if you do not extrude F891. Qty is 20 ft lengths, not meters."
94,PVC foam-core pipe,PVC-PIPE-FOAM,ASTM F891 PVC foam-core DWV pipe,"4""","ASTM F891 foam-core DWV pipe, 20 ft sticks",20 ft stick,On site,Quote if you extrude ASTM F891,"Leave FOB blank if you do not extrude F891. Qty is 20 ft lengths, not meters."
95,PVC DWV fittings,PVC-1/16HH,1/16 BEND (H x H),"1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 bend (confirm 22.5° / 1/16),White DWV. Leave FOB blank if you do not mold this pattern/size.
96,PVC DWV fittings,PVC-1/16HH,1/16 BEND (H x H),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 bend (confirm 22.5° / 1/16),White DWV. Leave FOB blank if you do not mold this pattern/size.
97,PVC DWV fittings,PVC-1/16HH,1/16 BEND (H x H),"3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 bend (confirm 22.5° / 1/16),White DWV. Leave FOB blank if you do not mold this pattern/size.
98,PVC DWV fittings,PVC-1/16HS,"1/16 BEND, STREET (H x S)","1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
99,PVC DWV fittings,PVC-1/16HS,"1/16 BEND, STREET (H x S)","2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
100,PVC DWV fittings,PVC-1/16HS,"1/16 BEND, STREET (H x S)","3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
101,PVC DWV fittings,PVC-1/4HH,1/4 BEND (H x H),"1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 90° elbow,White DWV. Leave FOB blank if you do not mold this pattern/size.
102,PVC DWV fittings,PVC-1/4HH,1/4 BEND (H x H),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 90° elbow,White DWV. Leave FOB blank if you do not mold this pattern/size.
103,PVC DWV fittings,PVC-1/4HH,1/4 BEND (H x H),"3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 90° elbow,White DWV. Leave FOB blank if you do not mold this pattern/size.
104,PVC DWV fittings,PVC-1/4HH,1/4 BEND (H x H),"4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.40 90° elbow,White DWV. Leave FOB blank if you do not mold this pattern/size.
105,PVC DWV fittings,PVC-1/4HH,1/4 BEND (H × H),"6""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
106,PVC DWV fittings,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
107,PVC DWV fittings,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
108,PVC DWV fittings,PVC-1/4HHLNG,LONG SWEEP 1/4 BEND (H x H),"4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
109,PVC DWV fittings,PVC-1/4HS,"1/4 BEND, STREET (H x S)","1-1/2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
110,PVC DWV fittings,PVC-1/4HS,"1/4 BEND, STREET (H x S)","2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
111,PVC DWV fittings,PVC-1/4HS,"1/4 BEND, STREET (H x S)","3""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
112,PVC DWV fittings,PVC-1/4HS,"1/4 BEND, STREET (H x S)","4""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,Quote if you manufacture ASTM D2665,White DWV. Leave FOB blank if you do not mold this pattern/size.
113,PVC DWV fittings,PVC-1/4LOWHEEL,1/4 BEND W/ LOW HEEL INLET (H x H x H),"3"" x 3"" x 2""","ASTM D2665 PVC DWV, NSF-dwv, hub x hub unless noted",pc,On site,p.41 90 low heel (confirm 3x3x2),White DWV. Leave FOB blank if you do not mold this pattern/size.
