family,code,desc,size,color,unit,qty,fob_unit,ddp_unit,our_landed_unit,ocean_unit,ddp_over_fob,ddp_vs_our_pct,fob_amt,ddp_amt,our_landed_amt,cbm,site_sell_unit,site_sell,ddp_in_sell_unit,our_in_sell_unit,gm_on_ddp_pct,gm_on_our_pct,target_sell_50gm_ddp,band_ddp
PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,1/2 x 1/2 x 3/4,,pc,3000,0.2753,0.4293,0.4026,0.0089,1.559,6.6,826,1288,1207.77,0.18,pc,0.71,0.4293,0.4026,39.5,43.3,0.86,thin — below 50% range
PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,1 x 1 x 1/2,,pc,3000,0.5507,0.859,0.7993,0.0118,1.56,7.5,1652,2577,2397.81,0.24,pc,1.53,0.859,0.7993,43.9,47.8,1.72,shy of 50% range
PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,1 x 1 x 3/4,,pc,3000,0.6353,0.991,0.9263,0.0177,1.56,7.0,1906,2973,2778.76,0.36,pc,1.74,0.991,0.9263,43.0,46.8,1.98,shy of 50% range
PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,1 x 3/4 x 1,,pc,3000,0.706,1.1013,1.0214,0.0118,1.56,7.8,2118,3304,3064.19,0.24,pc,2.26,1.1013,1.0214,51.3,54.8,2.2,in 50% range
PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,1 x 3/4 x 3/4,,pc,3000,0.5647,0.881,0.8193,0.0118,1.56,7.5,1694,2643,2457.87,0.24,pc,1.84,0.881,0.8193,52.1,55.5,1.76,in 50% range
PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,3/4 x 1/2 x 1/2,,pc,3000,0.3,0.468,0.4349,0.0059,1.56,7.6,900,1404,1304.73,0.12,pc,0.66,0.468,0.4349,29.1,34.1,0.94,thin — below 50% range
PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,3/4 x 1/2 x 3/4,,pc,3000,0.3707,0.578,0.5371,0.0071,1.559,7.6,1112,1734,1611.43,0.144,pc,0.87,0.578,0.5371,33.6,38.3,1.16,thin — below 50% range
PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,3/4 x 3/4 x 1/2,,pc,3000,0.353,0.5507,0.5119,0.0071,1.56,7.6,1059,1652,1535.64,0.144,pc,0.82,0.5507,0.5119,32.8,37.6,1.1,thin — below 50% range
PPSU,PEX-REDTEE,Reducing tee F2159 PPSU,3/4 x 3/4 x 1,,pc,3000,0.547,0.8533,0.7999,0.0177,1.56,6.7,1641,2560,2399.81,0.36,pc,1.58,0.8533,0.7999,46.0,49.4,1.71,in 50% range
PPSU,PEX-TEE,Tee F2159 PPSU crimp,1/2,,pc,3000,0.2117,0.3303,0.3071,0.0044,1.561,7.6,635,991,921.34,0.09,pc,0.49,0.3303,0.3071,32.6,37.3,0.66,thin — below 50% range
PPSU,PEX-TEE,Tee F2159 PPSU crimp,1,,pc,3000,0.8823,1.3763,1.2795,0.0177,1.56,7.6,2647,4129,3838.39,0.36,pc,2.24,1.3763,1.2795,38.6,42.9,2.75,thin — below 50% range
PPSU,PEX-TEE,Tee F2159 PPSU crimp,3/4,,pc,3000,0.4237,0.6607,0.6147,0.0089,1.559,7.5,1271,1982,1844.12,0.18,pc,1.02,0.6607,0.6147,35.2,39.7,1.32,thin — below 50% range
PEX-B stick,PEX-B-PIPE-ST-BLUE,"PEX-B potable pipe, 20 ft stick",1,Blue,ft,50000,0.256,0.3994,0.3993,0.0332,1.56,0.0,12800,19968,19965.74,11.25,20 ft stick,12.79,7.9872,7.9863,37.6,37.6,15.97,thin — below 50% range
PEX-B stick,PEX-B-PIPE-ST-RED,"PEX-B potable pipe, 20 ft stick",1,Red,ft,50000,0.256,0.3994,0.3993,0.0332,1.56,0.0,12800,19968,19965.74,11.25,20 ft stick,12.79,7.9872,7.9863,37.6,37.6,15.97,thin — below 50% range
PEX-B stick,PEX-B-PIPE-ST-RED,"PEX-B potable pipe, 20 ft stick",3/4,Red,ft,50000,0.157,0.2449,0.2511,0.0266,1.56,-2.5,7850,12246,12554.89,9.0,20 ft stick,7.37,4.8984,5.022,33.5,31.9,9.8,thin — below 50% range
PEX-B stick,PEX-B-PIPE-ST-BLUE,"PEX-B potable pipe, 20 ft stick",3/4,Blue,ft,50000,0.157,0.2449,0.2511,0.0266,1.56,-2.5,7850,12246,12554.89,9.0,20 ft stick,7.37,4.8984,5.022,33.5,31.9,9.8,thin — below 50% range
PEX-B stick,PEX-B-PIPE-ST-BLUE,"PEX-B potable pipe, 20 ft stick",1/2,Blue,ft,50000,0.081,0.1264,0.1291,0.0133,1.56,-2.1,4050,6318,6456.2,4.5,20 ft stick,3.91,2.5272,2.5825,35.4,34.0,5.05,thin — below 50% range
PEX-B stick,PEX-B-PIPE-ST-RED,"PEX-B potable pipe, 20 ft stick",1/2,Red,ft,50000,0.081,0.1264,0.1291,0.0133,1.56,-2.1,4050,6318,6456.2,4.5,20 ft stick,3.91,2.5272,2.5825,35.4,34.0,5.05,thin — below 50% range
PEX-B coil,PEX-B-PIPE-RL-BLUE,"PEX-B potable pipe, 100 ft coil",1/2,Blue,ft,50000,0.081,0.1264,0.1528,0.0369,1.56,-17.3,4050,6318,7637.88,12.5,100 ft coil,34.21,12.636,15.2758,63.1,55.3,25.27,fat — above 50% range
PEX-B coil,PEX-B-PIPE-RL-RED,"PEX-B potable pipe, 100 ft coil",1/2,Red,ft,50000,0.081,0.1264,0.1528,0.0369,1.56,-17.3,4050,6318,7637.88,12.5,100 ft coil,34.21,12.636,15.2758,63.1,55.3,25.27,fat — above 50% range
PEX-B coil,PEX-B-PIPE-RL-BLUE,"PEX-B potable pipe, 100 ft coil",3/4,Blue,ft,30000,0.157,0.2449,0.288,0.0635,1.56,-15.0,4710,7348,8640.77,12.9,100 ft coil,57.09,24.4933,28.8026,57.1,49.5,48.99,fat — above 50% range
PEX-B coil,PEX-B-PIPE-RL-RED,"PEX-B potable pipe, 100 ft coil",3/4,Red,ft,30000,0.157,0.2449,0.288,0.0635,1.56,-15.0,4710,7348,8640.77,12.9,100 ft coil,57.09,24.4933,28.8026,57.1,49.5,48.99,fat — above 50% range
PEX-B coil,PEX-B-PIPE-RL-BLUE,"PEX-B potable pipe, 100 ft coil",1,Blue,ft,30000,0.256,0.3994,0.4606,0.0945,1.56,-13.3,7680,11981,13818.44,19.2,100 ft coil,79.15,39.9367,46.0615,49.5,41.8,79.87,in 50% range
PEX-B coil,PEX-B-PIPE-RL-RED,"PEX-B potable pipe, 100 ft coil",1,Red,ft,30000,0.256,0.3994,0.4606,0.0945,1.56,-13.3,7680,11981,13818.44,19.2,100 ft coil,79.15,39.9367,46.0615,49.5,41.8,79.87,in 50% range
